i,birth,death,dim,cavity,death_nodes
0,-5500,2100,0,Dental cavities,
1,-3400,-430,0,Dental cavities;Anaesthesia,Immune system
2,-2000,500,0,Gall bladder;Anaesthesia,Liver
3,-1700,1896,0,Keloid;Anaesthesia,Pinna (anatomy)
4,-1600,-1500,0,Anatomy;Anaesthesia,Vein;Vascular system
5,-1600,-1599,0,Thyroid gland;Anatomy,Fetus
6,-1600,1100,0,Thyroid;Thyroid gland,Goitre
7,-1600,-1500,0,Zootomy;Anaesthesia,Vein
8,-1550,1300,0,Volvulus;Anatomy,Viscus
9,-800,1830,0,Ophthalmology;Anatomy,Diplopia
10,100,1543,0,Immune system;Dendrite,Brachium restiformis
11,120,1543,0,Receptor layer of retina;Anatomy,Brain
12,154,1852,0,Endolymph;Anatomy,Cochlea
13,180,1736,0,Prone position;Anatomy,Anatomical terms of location
14,245,2009,0,Mammogram;Anatomy,Bone
15,250,1543,0,Auditory aphasia;Anatomy,Brain
16,300,500,0,Nervous system;Immune system,Bone marrow
17,300,301,0,Nervous system;Neural,Interneuron
18,380,1870,0,Visual radiation;Anatomy,Human eye
19,400,1600,0,Ovarian follicle;Anatomy,Histology
20,1400,1800,0,Pubic hair;Organ (anatomy),Puberty
21,1400,1736,0,Hamstrings;Anatomy,Anatomical terms of location
22,1400,2010,0,Scoliosis;Anatomy,Vertebral column
23,1425,1872,0,Organ (anatomy);Calf (anatomy),Ankle jerk reflex
24,1500,1666,0,Organ (anatomy);Auditory Ossicles,Aditus ad antrum
25,1500,1546,0,Ossicles;Auditory Ossicles,Stapes
26,1500,1700,0,Lung;Coccyx,Sacrum
27,1543,1829,0,Organ (anatomy);Epiglottic cartilage,Tongue
28,1543,1829,0,Organ (anatomy);Epiglottis,Tongue
29,1588,2001,0,Coccyx;Ileocecal valve,Vermiform appendix
30,1685,1870,0,Organ (anatomy);Ciliary muscle,Human eye
31,1685,1720,0,Major duodenal papilla;Hepatic,Ampulla of Vater
32,1700,2010,0,Foramen spinosum;Anatomy,Sphenoid bone
33,1733,1829,0,Organ (anatomy);Hypoglossal nerve,Tongue
34,1797,1880,0,Formication;Abducens nucleus,Neurology
35,1800,2008,0,Cheyne-stokes respiration;Anatomy,Vertebrate trachea
36,1800,1854,0,Prosopagnosia;Occipital lobe,Fusiform gyrus
37,1813,1896,0,Vomeronasal organ;Abducens nucleus,Axon
38,1836,1898,0,Pudendal nerve;Cranial nerves,Nerve
39,1840,1908,0,Anatomical terms of location;Trapezium (bone),Hand
40,1851,1852,0,Auditory Ossicles;Organ of Corti,Cochlea
41,1858,1909,0,Dermatoglyphics;Anatomical terms of location,Simian crease
42,1880,1893,0,Saccade;Embryo,Metathalamus
43,2009,2018,0,Osteon;Anatomy,Cancellous
44,2020,2100,0,Asterion,
45,2020,2022,0,Intrinsic muscles of the tongue;Bone,Greater horn of the hyoid
46,2020,2022,0,Clavicle;Submental triangle,Triangles of the neck
47,-1499,2100,1,Subclavian vein;Thyroid gland,
48,-430,1242,1,Vascular system;Vein;Circulatory system;Immune system,Heart
49,-400,2100,1,Lymphatic system;Subclavian vein,
50,-150,2013,1,Fetus;Dissection;Embryo;Anatomy,Human anatomy
51,-150,2013,1,Vascular system;Zootomy;Fetus;Vein;Dissection;Anatomy,Human anatomy
52,135,2100,1,Childbirth;Thyroid gland,
53,207,2100,1,Skeleton;Zootomy,
54,300,1242,1,Vascular system;Circulatory system;Pulmonary;Fetus;Vein;Immune system,Heart
55,300,1242,1,Circulatory system;Zootomy;Pulmonary;Lung;Vein;Immune system,Heart
56,300,2100,1,Childbirth;Pulmonary,
57,500,2012,1,Vascular system;Urinary bladder;Circulatory system;Zootomy;Pulmonary;Lung;Liver;Immune system;Lymphatic system,Hormone
58,500,2100,1,Bone marrow;Hepatic,
59,1242,2017,1,Zootomy;Embryo;Cardiac;Dissection;Liver,Foetus
60,1242,1300,1,Cardiac;Lung;Liver;Zootomy,Organ (anatomy)
61,1242,1907,1,Circulatory system;Cardiac;Lung;Heart;Immune system;Lymphatic system,Blood
62,1243,2011,1,Cardiac;Foramen ovale (heart);Lung;Heart,Right atrium
63,1243,2017,1,Foramen ovale (heart);Zootomy;Pulmonary;Embryo;Cardiac;Lung;Dissection;Heart;Septum secundum;Liver,Foetus
64,1243,2100,1,Heart;Cardiophrenic angle,
65,1300,2008,1,Zootomy;Organ (anatomy);Dissection;Anatomy;Liver,Human body
66,1300,2100,1,Organ (anatomy);Anaesthesia,
67,1300,1735,1,Zootomy;Viscus;Lung;Dissection;Heart;Anatomy;Immune system;Lymphatic system,Biology
68,1300,1600,1,Viscera;Viscus;Immune system;Anatomy,Histology
69,1300,2015,1,Bone marrow;Urinary bladder;Zootomy;Viscus;Organ (anatomy);Viscera;Lung;Nervous system;Neural;Interneuron;Anatomy;Liver;Immune system,Vertebra
70,1300,1898,1,Viscera;Nervous system;Viscus;Anatomy,Nerve
71,1300,1891,1,Urinary bladder;Viscus;Organ (anatomy);Lung;Heart;Liver;Immune system;Lymphatic system,Muscle
72,1300,1891,1,Urinary bladder;Organ (anatomy);Viscera;Lung;Heart;Liver;Immune system;Lymphatic system,Muscle
73,1300,1600,1,Viscera;Viscus;Mesentery;Anatomy,Histology
74,1300,2009,1,Viscus;Zootomy;Lung;Skeleton;Human skeleton,Bone
75,1300,2009,1,Viscera;Viscus;Human skeleton;Anatomy,Bone
76,1300,2018,1,Urinary bladder;Zootomy;Viscus;Organ (anatomy);Fetus;Lung;Anatomy;Thyroid;Thyroid gland;Goitre,Cancellous
77,1300,1894,1,Viscera;Thyroid;Nervous system;Viscus,Hypothalamus
78,1300,1891,1,Viscera;Lung;Organ (anatomy);Hepatic,Muscle
79,1301,2012,1,Vascular system;Liver;Kidney;Organ (anatomy),Hormone
80,1301,2100,1,Viscus;Excretory system,
81,1301,2016,1,Viscera;Viscus;Excretory system;Anatomy,Digestive system
82,1500,1600,1,Viscera;Viscus;Fallopian tube;Anatomy,Histology
83,1517,2100,1,Comparative anatomy;Zootomy,
84,1543,1879,1,Zootomy;Organ (anatomy);Viscera;Lung;Nervous system;Brain,Autonomic nervous system
85,1543,1871,1,Cerebrospinal fluid;Brain;Organ (anatomy);Anaesthesia,Spinal cord
86,1543,1800,1,Brain;Nervous system;Neural;Interneuron,Neuron
87,1543,1800,1,Dendrite;Primary fissure;Interneuron;Brachium restiformis,Neuron
88,1543,2010,1,Head of rib;Viscus;Organ (anatomy);Lung;Human skeleton;Anatomy,Skin
89,1543,2022,1,Head of rib;Circulatory system;Subclavian vein;Cardiac;Lung;Vein;Heart,Superior jugular bulb
90,1544,2100,1,Cerebellum;Glomerulus,
91,1544,2100,1,Tonsil;Lymphatic system,
92,1544,2100,1,Anterior lobe of cerebellum;Brachium restiformis,
93,1544,2100,1,Anterior lobe of cerebellum;Primary fissure,
94,1544,2100,1,Urinary bladder;Trigone of urinary bladder,
95,1555,2100,1,Homology (biology);Animal morphology,
96,1555,2010,1,Zootomy;Organ (anatomy);Homology (biology);Brain;Neural;Comparative anatomy,Vertebral column
97,1555,2010,1,Head of rib;Viscus;Zootomy;Organ (anatomy);Cardiac;Lung;Homology (biology);Brain;Human skeleton;Neural,Vertebral column
98,1555,2010,1,Head of rib;Zootomy;Viscus;Pulmonary;Hepatic;Lung;Vein;Brain;Human skeleton;Neural;Homology (biology),Vertebral column
99,1556,2100,1,Penis;Viscus,
100,1556,2014,1,Viscera;Viscus;Penis;Anatomy,Vagina
101,1557,1894,1,Proprioception;Primary fissure;Interneuron;Brachium restiformis,Parietal lobe
102,1558,2100,1,Clarke's column;Proprioception,
103,1563,2100,1,Adrenal gland;Immune system,
104,1600,2100,1,Histology;Thyroid gland,
105,1661,1908,1,Vascular system;Capillary;Circulatory system;Immune system,Lymph
106,1662,2100,1,Capillary;Nephron,
107,1662,2100,1,Nephron;Glomerulus,
108,1663,2100,1,Hepatic;Juxtaglomerular apparatus,
109,1664,1871,1,Nervous system;Cranial nerves;Brain;Interneuron;Brachium restiformis,Spinal cord
110,1664,1871,1,Primary fissure;Cranial nerves;Interneuron;Brachium restiformis,Spinal cord
111,1664,2100,1,Accessory nerve;Scapula,
112,1664,1894,1,Brachium restiformis;Nervous system;Brain;Interneuron;Basal ganglia,Pons
113,1664,1894,1,Primary fissure;Nervous system;Brain;Interneuron;Basal ganglia,Pons
114,1666,2021,1,Bone marrow;Temporal bone;Viscus;Organ (anatomy);Pulmonary;Hepatic;Viscera;Mastoid air cells;Lung;Nervous system;Cranial nerves;Heart;Anatomy;Liver;Immune system,Cranium
115,1672,1800,1,Nervous system;Brain;Interneuron;Ammon's horn,Neuron
116,1672,2100,1,Dissection;Ammon's horn,
117,1672,2100,1,Ammon's horn;Homology (biology),
118,1700,1701,1,Sympathetic nervous system;Nervous system;Cranial nerves;Neural,Peripheral nervous system
119,1700,2100,1,Sympathetic nervous system;Cardiac,
120,1700,2100,1,Sympathetic nervous system;Thyroid gland,
121,1701,2100,1,Mesenchyme;Hepatic,
122,1702,1801,1,Neural;Interneuron;Myelin;Brachium restiformis,White matter
123,1702,2100,1,Myelin;Sympathetic nerve,
124,1702,1801,1,Primary fissure;Neural;Interneuron;Myelin,White matter
125,1702,2100,1,Peripheral nervous system;Nerve fascicle,
126,1703,1908,1,Perineurium;Nervous system;Peripheral nervous system;Connective tissue,Endoneurium
127,1728,2100,1,Penis;Sebaceous glands,
128,1736,2100,1,Anatomical terms of location;Ammon's horn,
129,1736,2100,1,Gall bladder;Septum,
130,1736,2100,1,Connective tissue;Matrix (biology),
131,1736,2100,1,Septum;Thyroid gland,
