i,birth,death,dim,cavity,death_nodes
0,-2500,2100,0,Carbon,
1,-2000,900,0,Alcohol;Medicine,Vaccine
2,-2000,-500,0,Pesticide;Alcohol,Microbe
3,-1500,111,0,Alcohol;Nutrition,Ammonia
4,-1500,-500,0,Fermentation (biochemistry);Alcohol,Microbe
5,-500,118,0,Sulfur;Alcohol,Chemical element
6,-500,1588,0,Phylogenetics;Alcohol,Fungi
7,-400,-300,0,Physiology;Alcohol,Chemistry
8,100,1588,0,Phylogenetics;Lipid,Fungi
9,100,1791,0,Dendrite;Cell (biology),Action potential
10,100,2020,0,Desmopressin;Cell (biology),Hormone
11,100,230,0,Atom;Phytohaemagglutinin,Crystal structure
12,100,1838,0,Rho factor;Phylogenetics,Protein
13,146,1800,0,Nucleosome;Chemistry,Histone
14,155,1800,0,Basic fibroblast growth factor;Chemical element,Gene
15,180,1800,0,Homeobox;Chemical element,Gene
16,180,1300,0,Bacteria;Homeodomain protein,Organ (anatomy)
17,182,1838,0,Phylogenetics;Intein,Protein
18,273,1700,0,Kelvin;Chemical element,Catalyst
19,400,1923,0,Infrared spectroscopy;Chemistry,Raman spectroscopy
20,600,1600,0,Phylogenetics;Cancer,Cell biology
21,1250,1700,0,Kelvin;Thermodynamic free energy,Entropy
22,1791,1860,0,Biochemistry;Titration,Analytical chemistry
23,1800,1895,0,Adrenergic receptor;Oxygen,Epinephrine
24,1800,1815,0,Chemical element;Kinetic energy,Proton
25,1800,1832,0,Serpin;Molecule,Polymer
26,1900,2020,0,Cell membrane;Mechanoreceptor,Sensory receptor
27,1905,1906,0,Homology (biology);Gastrin,Cholecystokinin receptor
28,1909,1910,0,Lysozyme;Chemical reaction,Active site
29,1913,1970,0,Atom;Dialysis,Mri
30,1926,2005,0,Von Willebrand factor;Protein,Glycoprotein
31,1930,1972,0,Angiotensin;Fungi,Peptide
32,1959,1969,0,Gene;Philadelphia chromosome,Fusion oncogene protein
33,1965,2005,0,Carcinoembryonic antigen;Protein,Glycoprotein
34,2020,2023,0,Molecule;Allosteric site,Feedback inhibition
35,2020,2023,0,Michaelis-menten kinetics;Molecule,Feedback inhibition
36,2020,2023,0,Bacteria;Steroid receptor,Hsp90
37,2020,2026,0,Eukaryote;3' end,Peptide initiation factor
38,2020,2026,0,Rna-binding protein;Protein,Retinol-binding protein
39,2020,2023,0,Opsin;Organelle,Rod outer segment
40,2020,2023,0,Corticotropin;Acetylcholine,Serotonin receptor
41,2020,2026,0,Angiotensin II;Proton,Sodium-hydrogen antiporter
42,2020,2024,0,Hydrophobicity analysis;Alpha helix,Transmembrane helix
43,2020,2025,0,Outline of biochemical techniques;Chemistry,List of basic biochemistry topics
44,2020,2026,0,Biology;Mitochondrial membrane,List of biology topics
45,2020,2026,0,Biology;Chromosome walking,List of biology topics
46,2020,2026,0,List of biochemists;Biology,List of biology topics
47,100,2025,1,Microbe;Chemistry;Cell (biology);Physiology;Alcohol,List of basic biochemistry topics
48,100,1824,1,Chemistry;Mole (unit);Carbon;Atom;Alcohol,Organic compound
49,118,1700,1,Chemistry;Chemical element;Carbon;Atom;Mole (unit),Electron
50,120,1991,1,Gamete;Meiosis;Microbe;Cell (biology),Mitosis
51,142,1830,1,Fermentation (biochemistry);Bacteria;Microbe;Photosynthesis,Organelle
52,230,2100,1,Nutrition;Pregnancy proteins,
53,230,2100,1,Gamete;Pregnancy proteins,
54,800,1824,1,Chemistry;Ethanol;Cell (biology);Sugar;Bacteria;Physiology;Fermentation (biochemistry),Organic compound
55,800,2100,1,Starch;Ethanol,
56,800,2004,1,Microbe;Chemistry;Ethanol;Cell (biology);Bacteria;Physiology;Ammonia,Archaea
57,800,2100,1,Ethanol;Atomic radius,
58,800,2100,1,Ethanol;Pregnancy proteins,
59,1000,2100,1,Microscope;Colloid,
60,1300,2002,1,Physiology;Organ (anatomy);Bacteria;Cell (biology),Organism
61,1452,2026,1,Biomechanics;Organ (anatomy);Bacteria;Cell (biology),List of biology topics
62,1500,1735,1,Physiology;Chemical reaction;Cell (biology);Chemistry,Biology
63,1500,1824,1,Chemistry;Chemical element;Cell (biology);Photosynthesis;Bacteria;Fermentation (biochemistry);Chemical reaction;Hydrogen,Organic compound
64,1500,1996,1,Chemistry;Ethanol;Chemical element;Ammonia;Hydrogen,Chemical compound
65,1500,2026,1,Chemistry;Entomology;Cell (biology);Organ (anatomy);Bacteria;Biomechanics;Physiology;Chemical reaction,List of biology topics
66,1501,2100,1,International Union of Pure and Applied Chemistry;Polymerization,
67,1588,1838,1,Chemical bond;Polysaccharide;Fungi;Chemical element;Sugar;Carbon;Bacteria;Fermentation (biochemistry),Cellulose
68,1588,1600,1,Physiology;Bacteria;Fungi;Cell (biology),Evolution
69,1588,1905,1,Meiosis;Bacteria;Microbe;Fungi,Eukaryote
70,1588,2100,1,Fungi;Medicine,
71,1599,2100,1,Medicine;Virology,
72,1600,1735,1,Fungi;Pharmacology;Chemistry;Cell (biology);Bacteria;Chemical reaction,Biology
73,1600,2100,1,Homology (biology);Evolution,
74,1600,1735,1,Chemistry;Cell (biology);Osmosis;Chemical reaction;Diffusion,Biology
75,1601,2100,1,Physiology;Drug,
76,1601,2100,1,Alcohol;Drug,
77,1614,2021,1,Chemistry;Chemical element;Hydrogen;Metabolism;Atom;Ammonia;Nutrition;Chemical reaction,Catabolism
78,1615,2100,1,Physiology;Triiodothyronine,
79,1665,1800,1,Lipid;Fungi;Cell (biology);Metabolism;Bacteria;Cell biology;Cell membrane;Life;Chemical reaction,Virus (biology)
80,1665,2100,1,Cell membrane;Odorant receptor,
81,1666,1845,1,Microbe;Cell (biology);B cell;T cell;Cell membrane;Immune system;Life,Antibody
82,1669,2100,1,Phosphorus;Pesticide,
83,1680,1905,1,Microbe;Fungi;Bacteria;Life;Yeast,Eukaryote
84,1700,1772,1,Chemistry;Photosynthesis;Electron;Molecule;Oxygen,Cyclic electron flow
85,1700,1835,1,Electron;Atom;Chemical element;Atomic radius,Oxidation number
86,1700,2002,1,Biochemistry;Organ (anatomy);Bacteria;Life,Organism
87,1700,2026,1,Physiology;Biochemistry;Chemistry;Entomology,List of biology topics
88,1700,2026,1,Chemical bond;Neuroscience;Fungi;Chemical element;Cell (biology);Metabolism;Nervous system;Atom;Bacteria;Cell biology;Oxygen;Biochemistry;Life;Chemical reaction,List of biology topics
89,1700,2100,1,Neuroscience;Phytohaemagglutinin,
90,1700,2023,1,Pharmacology;Fungi;Chemistry;Metabolism;Atom;Molecule;Catalyst;Chemical reaction;Diffusion,Catalytic domain
91,1701,2100,1,Ammonia;Urea cycle,
92,1701,2100,1,Physiology;Biomedical model,
93,1727,2100,1,Carbon;Tetrodotoxin,
94,1727,1996,1,Fungi;Chemistry;Chemical element;Urea;Metabolism;Molecule;Oxygen;Biochemistry;Ammonia;Hydrogen,Chemical compound
95,1735,2100,1,Biology;Entropy,
96,1747,2020,1,Glucose;Fungi;Sugar;Metabolism;Carbon;Electron;Atom;Fermentation (biochemistry);Chemical reaction;Alcohol,Oxidation
97,1752,2100,1,Cell membrane;Physical chemistry,
98,1753,2100,1,Evolution;Luminescent protein,
99,1753,2100,1,Pharmaceutical;Chemical property,
100,1772,1838,1,Polysaccharide;Fungi;Chemistry;Chemical element;Molecule;Oxygen;Nitrogen;Biochemistry,Protein
101,1772,1908,1,Fungi;Chemistry;Chemical element;Urea;Metabolism;Molecule;Oxygen;Nitrogen;Biochemistry;Ammonia,Glutamate
102,1772,2100,1,Nitrogen;Tetrodotoxin,
103,1773,2100,1,Nitrogen;Vapor pressure,
104,1780,2100,1,Potassium;Lactic acid,
105,1782,2100,1,International Union of Pure and Applied Chemistry;Chemical nomenclature,
106,1791,2100,1,Action potential;Potassium,
107,1791,2013,1,Chemical bond;Fungi;Chemical element;Cell (biology);Metabolism;Nervous system;Atom;Bacteria;Oxygen;Biochemistry;Life;Action potential;Chemical reaction,Ampa receptor
108,1800,1916,1,Aromatic compound;Electron;Atom;Molecule;Chemical reaction,Covalent bond
109,1800,1991,1,Gene;Biology;Cell biology;Cancer;Life,Mitosis
110,1800,1838,1,Gene;Fungi;Plasma membrane;Metabolism;Life,Protein
111,1800,2100,1,Gene;Odorant receptor,
112,1800,1838,1,Gene;Fungi;Metabolism;Protozoan proteins;Life,Protein
113,1800,1822,1,Gene;Microbe;Biology;Amino acid;Homeodomain protein,Mutation
114,1800,1838,1,Chemical bond;Glucose;Polysaccharide;Fungi;Cell (biology);Metabolism;Carbon;Virus (biology);Amino acid;Bacteria;Oxygen;Fermentation (biochemistry);Chemical reaction,Cellulose
115,1800,2005,1,Chemical bond;Fungi;Purine;Chemical element;Cell (biology);Amino acid;Pyrimidine;Atom;Bacteria;Oxygen;Nitrogen;Yeast,Dna replication
116,1800,1869,1,Purine;Heterocyclic compound;Chemical element;Pyrimidine;Nitrogen,Dna
117,1800,1869,1,Organic chemistry;Fungi;Chemistry;Purine;Heterocyclic compound;Chemical element;Amino acid;Pyrimidine;Nitrogen;Biochemistry,Dna
118,1800,2100,1,Organic chemistry;Drug,
119,1800,1824,1,Organic chemistry;Fungi;Chemistry;Aromatic compound;Amino acid;Carbon;Biochemistry;Benzene,Organic compound
120,1800,1869,1,Chemical bond;Chemical element;Cell (biology);Virus (biology);Amino acid;Atom;Bacteria;Phosphorus;Oxygen,Dna
121,1800,2100,1,Genetics;Pregnancy proteins,
122,1800,2026,1,Evolution;Genomics;Biology;Modern synthesis (20th century),List of biology topics
123,1801,2100,1,Amino acid;Neurotransmitter,
124,1801,1908,1,Neurotransmitter;Fungi;Amino acid;Metabolism;Nervous system;Bacteria;Neuron,Glutamate
125,1801,2100,1,Organic chemistry;Timeline of biology and organic chemistry,
126,1801,2100,1,Alpha adrenergic receptor;Beta-1 adrenergic receptor,
127,1802,2100,1,Antibiotic;Polymyxin,
128,1804,1838,1,Gene;Fungi;Cell nucleus;Metabolism;Life,Protein
129,1804,1869,1,Biology;Histone;Cell nucleus;Bacteria;Life,Dna
130,1806,2100,1,Ethanol;Asparagine,
131,1806,2100,1,Benzene;Asparagine,
132,1806,2100,1,Nuclear protein;Tax gene product,
133,1815,2020,1,Fungi;Proton;Lactic acid;Metabolism;Atom;Chemical reaction,Oxidation
134,1815,2100,1,Chirality (chemistry);Lactic acid,
135,1815,2100,1,Chirality (chemistry);Catalyst,
136,1815,2100,1,Chirality (chemistry);Circular dichroism,
137,1817,2100,1,Ligand;Chlorophyll,
138,1817,2100,1,Aromatic compound;Chlorophyll,
139,1817,2100,1,Chlorophyll;Luminescent protein,
140,1820,2014,1,Glycine;Chemistry;Ethanol;Chemical element;Amino acid,Chemical formula
141,1822,2026,1,Biology;Fungi;Metabolism;Life;Fermentation (biochemistry);Mutation,List of biology topics
142,1823,2100,1,Hydrogenation;Pharmaceutical,
143,1824,1849,1,Organic chemistry;Aromatic compound;Chemistry;Purine;Heterocyclic compound;Organic compound;Pyrimidine,Pyridine
144,1824,2020,1,Organic compound;Urea;Amino acid;Nitrogen;Hydrogen,Amide
145,1825,1838,1,Cell (biology);Amino acid;Metabolism;Hemoglobin;Bacteria;Oxygen,Plant protein
146,1827,1842,1,Organic chemistry;Chemistry;Chirality (chemistry);Amino acid;Isomer,Stereochemistry
147,1828,2100,1,Organic reaction;Organic compound,
148,1832,1838,1,Chemical bond;Glucose;Polysaccharide;Fungi;Cell (biology);Metabolism;Amino acid;Polymer;Oxygen;Fermentation (biochemistry);Chemical reaction,Plant protein
149,1832,2100,1,Polymer;International Union of Pure and Applied Chemistry,
150,1833,1869,1,Chemical bond;Fungi;Organic compound;Purine;Enzyme;Chemical element;Cell (biology);Metabolism;Amino acid;Atom;Bacteria;Oxygen;Life,Dna
151,1833,2013,1,Fungi;Biology;Taxonomy (biology);Enzyme;Metabolism;Evolutionary developmental biology;Evolution;Life,Gene regulatory network
152,1833,2100,1,Enzyme;Drug,
153,1833,2100,1,Enzyme;Luminescent protein,
154,1834,2100,1,Enzyme;Acrosin,
155,1834,2100,1,Enzyme;Plasmin,
156,1835,1916,1,Atom;Ligand;Molecule;Oxidation number,Covalent bond
157,1835,2100,1,International Union of Pure and Applied Chemistry;Oxidation number,
