i,birth,death,dim,cavity,death_nodes
0,-350,2100,0,Origin of avian flight,
1,100,2012,0,Calcium-activated potassium channel;Origin of avian flight,Bird flight
2,100,1932,0,Calcium-activated potassium channel;Nanobiomechanics,Structural biology
3,100,1928,0,Porosome;Calcium-activated potassium channel,Bk channel
4,850,1916,0,Linus Pauling;Nanobiomechanics,Francis Crick
5,1000,1666,0,Porosome;Voltage-dependent calcium channel,Secretory pathway
6,1749,2012,0,Bird migration;Cell membrane,Bird flight
7,1800,2020,0,Insect wing;Cell membrane,Exoskeleton
8,1800,1941,0,Biomechanics;Myelin sheath gap,Ion channel
9,1829,1840,0,Adolf Eugen Fick;Biomechanics,Biophysics
10,1845,1925,0,Lecithin;Cell membrane,Lipid bilayer
11,1848,1849,0,Cell membrane;Active transport,Semipermeable membrane
12,1880,1971,0,Cell membrane;Sphingomyelin,Membrane lipids
13,1886,2100,0,Parkinsonian gait,
14,1900,1947,0,Biophysics;Microbial fuel cell,Bioelectrochemistry
15,1900,1911,0,Microbial fuel cell;Enzymatic biofuel cell,Bioelectrochemical reactor
16,1902,1946,0,Biophysics;Enzyme kinetics,Reinhart Heinrich
17,1919,2100,0,Godfrey Hounsfield,
18,1920,2012,0,Work loop;Biased random walk (biochemistry),Bird flight
19,1933,2100,0,Peter Mansfield,
20,1940,2100,0,Cardiolipin,
21,1943,1967,0,Biophysics;David E. Goldman,Kenneth Stewart Cole
22,1950,1974,0,Membrane contact site;Cell membrane,Intracellular membranes
23,1963,2012,0,Magnetotactic bacteria;Biased random walk (biochemistry),Flagellum
24,1980,1984,0,Ion channel;Channelrhodopsin,Light-gated ion channel
25,1983,2020,0,Linus Pauling;Talin protein,Alpha helix
26,2011,2020,0,Chloroplast membrane;Stroma (fluid),Thylakoid
27,2020,2100,0,Best2,
28,2020,2100,0,Womersley number,
29,2020,2100,0,Human leg,
30,2020,2100,0,Cell adhesion molecule,
31,2020,2100,0,Hydrostatic skeleton,
32,1851,2100,1,Plasmolysis;Osmotic pressure,
33,1916,2100,1,Francis Crick;Max Perutz,
34,1926,2100,1,Aaron Klug;John Desmond Bernal,
35,1927,2100,1,Lipid bilayer characterization;Model lipid bilayer,
36,1929,2100,1,Membrane fluidity;Methylhopane,
37,1930,2100,1,Signal peptide;Membrane topology,
38,1930,2100,1,Glycerophospholipid;Lecithin,
39,1930,2100,1,Osmotic pressure;Osmoregulation,
40,1931,2100,1,Max Perutz;David Mervyn Blow,
41,1931,2100,1,Translocon;Protein targeting,
42,1931,2100,1,Membrane biology;Lipid bilayer fusion,
43,1932,2100,1,Signal peptide;Twin-arginine translocation pathway,
44,1932,2100,1,Translocon;Twin-arginine translocation pathway,
45,1933,2100,1,Structural biology;Structure validation,
