i,birth,death,dim,nodes
0,-7000,2100,0,Calcium
1,-6000,-360,0,Calcium;Chlorine
2,-6000,573,0,Calcium;Jade
3,-5500,-3500,0,Calcium;Copper
4,-5300,-1500,0,Vermilion;Copper
5,-5000,1150,0,Hematite;Copper
6,-4000,-3500,0,Coal;Copper
7,-3300,325,0,Iron;Egyptian language
8,-3100,-3000,0,Antimony;Copper
9,-3000,-625,0,Iron;Physics
10,-3000,-299,0,Iron;Distillation
11,-3000,100,0,Iron;Cosmetics
12,-2000,100,0,Iron;Medicine
13,-2000,815,0,Iron;Pesticide
14,-1800,573,0,Iron;Carnelian
15,-1800,-300,0,Sard;Carnelian
16,-1750,1200,0,Iron;Chocolate
17,-1700,1700,0,Lapis lazuli;Copper
18,-1500,1564,0,Calamine;Mercury (element)
19,-300,800,0,Iron;Asbestos
20,-300,1904,0,Amber;Electricity
21,100,1997,0,Chemical element;Heptane
22,100,273,0,Celsius;Chemical element
23,101,184,0,Standard temperature and pressure;Chemical element
24,111,800,0,Ammonia;Chemistry
25,244,500,0,Iron;Picric acid
26,304,800,0,Speed of sound;Nitroglycerine
27,400,600,0,Infrared spectroscopy;Chemistry
28,557,800,0,Nitrous oxide;Chemistry
29,850,1100,0,Linus Pauling;Chemical element
30,1700,1997,0,Amazonite;Chemical element
31,1800,1890,0,Hydrochloric acid;Diopside
32,1801,1803,0,Iron;Anatase
33,1803,1804,0,Chemical reaction;Reversible reaction
34,1824,1997,0,Chemical element;Sillimanite
35,1841,1998,0,Chemical element;Keilhauite
36,1857,1860,0,Zymurgy;Chemistry
37,1895,1900,0,Carbon;Epinephrine
38,1970,2023,0,Chemical element;Fur
39,2015,2023,0,Pollution;Chemical compound
40,2020,2021,0,Chemical element;List of biomolecules
41,2020,2021,0,List of compounds;Chemical element
42,-2500,-360,1,Iron;Alloy;Coal;Carbon
43,-2000,-360,1,Metal;Iron;Alloy;Tin;Antimony
44,-1500,1702,1,Mercury (element);Carbon;Alloy;Alcohol;Tin
45,-1500,-700,1,Gold;Alloy;Mercury (element);Tin
46,-1500,118,1,Carbon group;Alloy;Carbon;Tin
47,-625,1598,1,Iron;Alloy;Magnetism;Carbon
48,-500,-360,1,Metal;Mercury (element);Iron;Coinage metal;Group 12 element
49,-500,1791,1,Metal;Carbon;Iron;Alloy;Magnetism;Zinc;Electricity
50,-500,2023,1,Calcium;Iron;Sulfur;Alabaster;Coal
51,-500,-360,1,Metal;Iron;Sulfur;Cobalt;Coal
52,-400,1598,1,Iron;Metal;Magnetism;Aluminium
53,-400,-360,1,Calcium;Iron;Metal;Aluminium
54,-360,1700,1,Mass;Carbon;Alloy;Chemical element;Magnetism;Physics;Electricity
55,-300,249,1,Physics;Mass;Chemical element;Chemistry
56,-300,1824,1,Alcohol;Chemical element;Carbon;Chemistry
57,-299,2100,1,Sulfur;Clyssus
58,-299,2100,1,Antimony;Clyssus
59,100,118,1,Einsteinium;Metal;Atomic number;Chemical element
60,100,1700,1,Carbon;Chemical element;Mole (unit);Atom;Chemistry
61,108,500,1,Semiconductor;Carbon group;Chemical element;Tin;Antimony
62,108,1702,1,Semiconductor;X-ray photoelectron spectroscopy;Chemical element;Atom;Atomic number;Antimony
63,192,1789,1,International Union of Pure and Applied Chemistry;Caesium;Chemical element;Chemistry
64,192,294,1,Tennessine;Caesium;Chemical element;International Union of Pure and Applied Chemistry
65,192,294,1,Caesium;Chemical element;Oganesson;International Union of Pure and Applied Chemistry
