i,birth,death,dim,cavity,death_nodes
0,-4000,2100,0,Hydrology,
1,-3000,263,0,Physics;Hydrology,Oceanography
2,-800,263,0,Physics;Geography,Oceanography
3,-800,-799,0,Cartography;Geography,Geoinformatics
4,100,200,0,Mesosphere;Geography,Earth (planet)
5,132,1600,0,Geophysics;Geography,Magnetosphere
6,132,1603,0,Seismology;Chemistry,Geology
7,180,400,0,Geomorphology;Geography,Climatology
8,253,1603,0,Volcanology;Chemistry,Geology
9,800,2013,0,New York, NY;Chemistry,List of earth science topics (alphabetical)
10,1926,2002,0,Holism;Planetary science,Earth science
11,1936,2013,0,Gravimetry;Planetary science,List of earth science topics (alphabetical)
12,1941,2013,0,Chelsea House Publishers;Planetary science,List of earth science topics (alphabetical)
13,2012,2013,0,Crystallography;Planetary science,List of earth science topics (alphabetical)
14,200,2013,1,Geoinformatics;Cartography;Geography;Earth (planet),List of earth science topics (alphabetical)
15,263,2013,1,Physics;Earth (planet);Chemistry;Geography;Surveying;Oceanography,List of earth science topics (alphabetical)
16,400,2013,1,Physics;Chemistry;Geography;Science;Oceanography,List of earth science topics (alphabetical)
17,400,2013,1,Science;Cartography;Geography;Earth (planet),List of earth science topics (alphabetical)
18,401,2004,1,Physics;Chemistry;Meteorology;Atmospheric physics;Oceanography,Atmospheric sciences
19,1600,2013,1,Physics;Earth (planet);Chemistry;Geography;Dynamo theory;Oceanography,List of earth science topics (alphabetical)
20,1603,2002,1,Geology;Chemistry;Earth (planet);Geography;Oceanography,Earth science
21,1603,2013,1,Geochronology;Earth (planet);Geography;Science;Geology,List of earth science topics (alphabetical)
22,1603,2003,1,Oceanography;Climatology;Geology;Geomorphology,Glaciology
23,1609,2013,1,Earth (planet);Geophysics;Magnetosphere;Planetary science;Geology,List of earth science topics (alphabetical)
24,1700,2013,1,Geology;Biogeography;Geography;Earth (planet),List of earth science topics (alphabetical)
25,1735,2013,1,Physics;Earth (planet);Chemistry;Biology;Geology;Life,List of earth science topics (alphabetical)
26,1769,2013,1,Biology;Physical oceanography;Physics;Marine biology,List of earth science topics (alphabetical)
27,1832,2013,1,Science;Cartography;Geographical Information System;Geography,List of earth science topics (alphabetical)
28,1832,2013,1,Physics;Earth (planet);Chemistry;Geographical Information System;Geography;Surveying;Geology,List of earth science topics (alphabetical)
29,1832,1839,1,Oceanography;Geographical Information System;Geography;Hydrology,Geostatistics
30,1832,2013,1,Geology;Climatology;Earth (planet);Geographical Information System;Geography;Planetary science;Oceanography,List of earth science topics (alphabetical)
31,1839,2013,1,Earth (planet);Geostatistics;Geography;Geochemistry;Planetary science;Geology,List of earth science topics (alphabetical)
32,1839,2013,1,Soil science;Earth (planet);Geostatistics;Geography;Geology,List of earth science topics (alphabetical)
33,1900,1901,1,Plate tectonics;Geophysics;Magnetosphere;Earth (planet),Earth's magnetic field
34,1901,2013,1,Plate tectonics;Earth (planet);Geochemistry;Marine geology;Planetary science;Geology,List of earth science topics (alphabetical)
35,1901,2013,1,Plate tectonics;Earth (planet);Geodynamics;Geology;Mineralogy,List of earth science topics (alphabetical)
36,1901,2013,1,Historical geology;Structural geology;Plate tectonics;Earth (planet);Geology,List of earth science topics (alphabetical)
37,1901,2013,1,Physical oceanography;Physics;Plate tectonics;Earth (planet);Chemistry;Marine geology;Geology,List of earth science topics (alphabetical)
38,1902,2013,1,Geophysics;Economic geology;Geochemistry;Planetary science,List of earth science topics (alphabetical)
39,1902,2013,1,Economic geology;Petrology;Geochemistry;Planetary science;Geology,List of earth science topics (alphabetical)
40,1902,2013,1,Economic geology;Geochemistry;Planetary science;Geology;Mineralogy,List of earth science topics (alphabetical)
41,1902,2013,1,Economic geology;Structural geology;Plate tectonics;Earth (planet);Geochemistry;Planetary science;Geology,List of earth science topics (alphabetical)
