i,birth,death,dim,nodes
0,-5000,2100,0,Debt
1,-4500,2014,0,Debt;Commodity market
2,-3000,600,0,Debt;Trade
3,-1754,800,0,Trade;Bank
4,-500,-499,0,Trade;Tax
5,-405,1700,0,Gresham's law;Trade
6,-300,2015,0,Investment;Actuary
7,-300,1200,0,Investment;Economic geography
8,100,1865,0,Trade;Operations research
9,136,2100,0,Slavery
10,140,1700,0,Trade;Seven generation sustainability
11,150,1701,0,Trade;Charity shop
12,300,900,0,Trade;Local currency
13,300,600,0,Socialism;Trade
14,300,1400,0,Tax;Sweatshop
15,301,2016,0,Competition law;Trade
16,412,800,0,Gold standard;Bank
17,500,1300,0,Trade;Time-based currency
18,600,1700,0,Barter;Shock therapy (economics)
19,1300,1389,0,Price control;Sweatshop
20,1500,1600,0,Bullionism;Islamic economic jurisprudence
21,1600,1700,0,Barter;Moral hazard
22,1600,1700,0,Mathematical economics;Moral hazard
23,1776,1870,0,New classical macroeconomics;Economics
24,1800,1918,0,Surplus value;Economics
25,1800,1937,0,Charity shop;Poverty threshold
26,1805,1911,0,Regression analysis;Economics
27,1829,1942,0,Economics;Terms of trade
28,1890,1891,0,Price elasticity of demand;Economics
29,1920,1933,0,Price discrimination;Economics
30,1930,2014,0,Commodity market;Subsistence agriculture
31,1932,1956,0,Economic model;Elasticity of substitution
32,1970,2005,0,The Experience Economy;Economics
33,1975,1993,0,Policy-ineffectiveness proposition;Economics
34,1985,2015,0,Actuary;Dead cat bounce
35,1994,2100,0,Triple bottom line
36,2020,2021,0,Market (economics);Distribution (business)
37,100,2100,1,Laffer curve;Tax, tariff and trade
38,600,2100,1,Debt;Social welfare provision
39,900,2015,1,Currency;Euro;Trade;Tax, tariff and trade;Barter
40,900,2100,1,Currency;Islamic economic jurisprudence
41,1200,2100,1,Trade;Globalization
42,1300,2100,1,Gold standard;Unit of account
43,1300,2100,1,Euro;Unit of account
44,1329,2100,1,Monetary policy;Monetary economics
45,1400,2100,1,Inflation;Tax, tariff and trade
46,1450,2014,1,Trade;Money;Tax, tariff and trade;Capitalism
47,1470,2100,1,Price control;Rent control
48,1500,2100,1,Globalization;Unemployment
49,1500,2100,1,Unemployment;Social welfare provision
50,1600,2018,1,Currency;Trade;Inflation;Central bank;Tax, tariff and trade;Money;Barter
51,1600,2100,1,Bank;Fractional-reserve banking
52,1601,2100,1,Monetary economics;Money multiplier
53,1602,2100,1,Purchasing power parity;Depreciation (currency)
54,1602,2100,1,Debt;Depreciation (currency)
55,1694,2100,1,Debt;Government debt
56,1694,2100,1,Government debt;Tax, tariff and trade
57,1700,2014,1,Trade;Inflation;Economics;Tax, tariff and trade;Money;Barter
58,1700,1935,1,Gross domestic product;Monetary policy;Gold standard;Inflation;Economics;Monetary economics;Unit of account
59,1700,2100,1,Economics;Local currency
60,1700,2100,1,Economics;Interest
61,1700,2100,1,Economics;Economic geography
62,1700,2100,1,Economics;Rent control
63,1700,2100,1,Economic model;Value added tax
64,1700,2100,1,Trade;Political economy
65,1700,2100,1,Trade;Import substitution industrialization
