i,birth,death,dim,nodes
0,-8000,2100,0,Biliteracy
1,-8000,-7999,0,Literacy
2,-6600,-1650,0,Music
3,-2600,1960,0,Esalen Institute
4,-2200,1800,0,Program evaluation
5,-900,1777,0,Corporal punishment
6,-700,1960,0,Optics
7,-385,-384,0,Academy
8,100,500,0,Boarding school
9,108,1502,0,The Dalton School
10,127,1991,0,Board of education
11,130,1765,0,Gifted education
12,130,400,0,Distance education
13,150,1800,0,Nurture
14,165,597,0,Normal school
15,326,1953,0,Encaenia
16,401,1961,0,Community High School (Ann Arbor, Michigan)
17,511,1501,0,Cliffsnotes
18,605,1800,0,Imperial examination
19,650,1792,0,United States Academic Decathlon
20,1088,1300,0,Studium Generale
21,1200,2100,0,Globalization
22,1200,1801,0,Mnemonic
23,1248,2100,0,Forensics
24,1347,1348,0,Occam's razor
25,1347,1777,0,Occam's Razor
26,1450,1954,0,Textbook
27,1458,1502,0,Demyship
28,1500,1800,0,Language education
29,1509,1601,0,Obscurantism
30,1600,1920,0,Democratic school
31,1600,1930,0,Meta-analysis
32,1600,1601,0,Reasoning
33,1700,1935,0,Attention-deficit hyperactivity disorder
34,1734,1952,0,Doctor of Canon Law
35,1776,1800,0,Honor code
36,1777,1778,0,Character education
37,1786,1974,0,Repressed memory
38,1798,1870,0,Adult high school
39,1800,1935,0,Decay theory
40,1800,1942,0,Peer pressure
41,1800,2012,0,Public lecture
42,1800,1960,0,Sex education
43,1800,1801,0,Connectionism
44,1862,2020,0,Nobel Conference
45,1880,1892,0,Forgetting curve
46,1883,2020,0,University of Auckland Society
47,1885,1886,0,Recollection
48,1892,1957,0,Interference theory
49,1893,1972,0,Childhood amnesia
50,1898,1938,0,Psychology of learning
51,1898,1964,0,School discipline
52,1900,2008,0,Kohlberg's stages of moral development
53,1915,1987,0,American Educational Research Association
54,1920,1960,0,Mastery learning
55,1926,1946,0,Method of focal objects
56,1940,1951,0,Kinesthetic learning
57,1945,1948,0,Peace education
58,1949,1960,0,Taxonomy of Educational Objectives
59,1953,1954,0,Simulated annealing
60,1959,1960,0,Machine learning
61,1960,1967,0,Logovisual thinking (LVT)
62,1960,2100,0,Availability heuristic
63,1960,2015,0,Webinar
64,1969,1970,0,Four stages of competence
65,1970,2020,0,Laws of Technical Systems Evolution
66,1970,1976,0,Mind map
67,1971,2100,0,Dual-coding theory
68,1990,2020,0,Level of Invention
69,1990,1991,0,Prospective memory
70,2020,2100,0,Distar
71,2020,2100,0,Bilingual education
72,2020,2100,0,Qualitative psychological research
73,-330,400,1,Education;Teaching
74,-330,400,1,Education;Math education
75,-330,2100,1,Literacy;Teaching
76,-329,2100,1,Scholarly method;Teaching
77,-329,2100,1,Teaching;Postdoctoral researcher
78,130,2100,1,Online education;Open educational resources
79,301,2100,1,Functional illiteracy;Reading (activity)
80,500,2100,1,Biliteracy;Classics
81,597,2100,1,Secondary education;Academy
82,597,1950,1,Secondary education;Teaching
83,597,2100,1,Secondary education;Education of girls and women
84,1301,2100,1,Medieval university (Asia);Academy
85,1348,2100,1,Occam's razor;Grounded theory (Strauss)
86,1428,2100,1,Compulsory education;Biliteracy
87,1502,2100,1,Student;Scholarship
88,1502,2100,1,Student;Parallel education
89,1502,2100,1,Student;Teacher in role
90,1502,2100,1,Student;Teaching in-Role
91,1502,2100,1,Private school;Tuition
92,1502,2100,1,Private school;Public school (UK)
93,1502,2100,1,Scholarship;Tuition
94,1503,2100,1,Fellow;Scholarship
95,1570,2100,1,Phonics;Reading (activity)
96,1602,2100,1,Wisdom;Academy
97,1603,2100,1,Distance education;Teletraining
98,1700,2100,1,K-12;Kindergarten
99,1701,2100,1,Teaching method;Creativity
100,1727,2100,1,Bachelor of Education;Normal school
101,1772,2100,1,Education;Single-sex education
102,1772,2100,1,Private school;Single-sex education
103,1776,2100,1,Pedagogy;Pedology (children study)
104,1776,2100,1,Pedagogy;Normal school
105,1777,2100,1,Pedagogy;Punishment
106,1777,2100,1,Pedagogy;Maieutics
107,1778,2100,1,Punishment;Religious education
108,1778,2100,1,Religious education;Teaching
109,1778,2100,1,Religious education;Education of girls and women
110,1779,2100,1,Waldorf education;Preschool education
111,1779,2100,1,Literacy;Preschool education
112,1784,2100,1,Kindergarten;Free school meals
113,1792,2100,1,Ivy League;Grade (education)
114,1800,2100,1,Student;Social promotion
115,1800,2100,1,Active learning;Computer-based training
116,1800,2011,1,Active learning;Educational progressivism
117,1800,2100,1,Behaviorism;Autism
118,1800,1992,1,Agricultural education;Private school
119,1800,2100,1,Computer-based training;Distance education
120,1800,2100,1,Computer-based training;Educational assessment
121,1800,2100,1,Waldorf education;Standardized testing
122,1800,2100,1,Special education;Social promotion
123,1800,2100,1,Norm-referenced test;Standardized testing
124,1800,2100,1,Book flood;Reading education
125,1801,2100,1,Language education;Second language acquisition
126,1811,1954,1,Pro-vice-chancellor;Provost (education)
127,1830,2100,1,Disability;Standardized testing
128,1834,2100,1,Tuition;Mature student
129,1852,2100,1,Private school;Legality of homeschooling in the United States
130,1852,2100,1,Diploma;Legality of homeschooling in the United States
131,1860,2100,1,Academic degree;Bachelor of Science
132,1867,2100,1,United States Department of Education;Math education
133,1868,2100,1,Apprenticeship;Art education
134,1868,2100,1,Art education;Philosophy of education
135,1869,2100,1,United States Department of Education;Education voucher
136,1869,2100,1,Kindergarten;Education voucher
137,1870,2100,1,Continuing education;Asynchronous learning
138,1880,2100,1,Private school;Teachers College
139,1880,2100,1,Pedagogy;Teachers College
140,1880,2100,1,Ivy League;Teachers College
141,1880,2100,1,Reading (activity);Teachers College
142,1881,2100,1,Dyslexia;Reading education
143,1881,2100,1,Dyslexia;Subvocalization
144,1886,2100,1,Rote learning;Math education
145,1886,2100,1,Rote learning;The Dalton School
146,1892,1974,1,Forgetting curve;Retroactive interference
147,1896,2100,1,Private school;Dsamun
148,1900,2100,1,Educational psychology;Operant conditioning
149,1900,2100,1,United States Department of Education;Infant Education
150,1900,2100,1,Kindergarten;Infant Education
151,1900,2100,1,Early childhood education;Preschool education
152,1900,2100,1,Dalton Plan;The Dalton School
153,1901,2100,1,Primary education;Reading (activity)
154,1901,2100,1,Primary education;Infant Education
155,1901,2100,1,Operant conditioning;Trial and error
156,1901,2100,1,Law of effect;Trial and error
157,1901,2100,1,Early childhood education;Froebel Gifts
158,1902,1991,1,Private school;Independent school
159,1902,2100,1,Project-based learning;Creativity
160,1907,2100,1,Legality of homeschooling in the United States;Outdoor education
161,1907,2100,1,Outdoor education;Ropes course
162,1912,2100,1,United States Department of Education;Social studies
163,1920,2100,1,Summerhill School;Boarding school
164,1920,2100,1,Summerhill School;Teaching
165,1922,2100,1,Education;Edutainment
166,1922,2100,1,Edutainment;Disability
167,1935,2100,1,Working memory;General intelligence factor
168,1935,2100,1,Working memory;Reading Comprehension
169,1935,1957,1,Working memory;Retroactive interference
170,1940,1991,1,Free education;Comprehensive school
171,1940,2100,1,Nurture;Socialization
172,1950,1954,1,Higher education;Provost (education)
173,1950,2100,1,Training;Human Performance Technology
174,1950,2100,1,Educational technology;Human Performance Technology
175,1950,2100,1,Instructional design;Human Performance Technology
176,1950,2100,1,Cognitive load;Subvocalization
177,1951,2100,1,Student;Academic Assembly
178,1951,2100,1,Academic Assembly;Compulsory education
179,1951,2100,1,Academic Assembly;Student activism
180,1951,2100,1,Ivy League;College and university rankings
181,1951,2100,1,Campus university;Comprehensive school
182,1951,2100,1,Education voucher;Student loan
183,1951,2100,1,Jewish quota;Numerus clausus
184,1952,2100,1,Tertiary education;Prison education
185,1952,2100,1,Graduate school;Grade (education)
186,1952,2100,1,Graduate school;Scholarship
187,1952,2100,1,Graduate school;Teachers College
188,1952,1953,1,Education;Further education
189,1952,2100,1,Advanced Placement Program;Homeschooling
190,1952,2100,1,Advanced Placement Program;Standardized testing
191,1953,2100,1,Education;List of colleges and universities by country
