i,birth,death,dim,nodes
0,-5500,2100,0,Copper
1,-2750,-2000,0,Electricity;Copper
2,-2400,-1900,0,Electricity;Computer
3,-2000,609,0,Electricity;Baudot code
4,-2000,-1900,0,Diode;Metal
5,-2000,100,0,Electricity;Total internal reflection
6,-2000,-1900,0,Electricity;Inside plant
7,-2000,-1800,0,Electricity;Synthesizer
8,-2000,1987,0,Electricity;Content delivery
9,-1900,-1800,0,Receiver (radio);Loading coil
10,-1900,694,0,Telecommunication;Pauli exclusion principle
11,-1900,1702,0,Telecommunication;Tensor
12,-1900,-1899,0,Tape relay;Telecommunication
13,-1800,1782,0,Ammeter;Telecommunication
14,-1800,1971,0,Telecommunication;Spice
15,-200,1822,0,Signal processing;Fourier series
16,100,1783,0,Telecommunication;Nickel metal hydride
17,120,1910,0,Telecommunication;Stopband
18,120,2002,0,Wink pulsing;Telecommunication
19,121,916,0,Telecommunication;Emergency Locator Transmitter
20,128,1989,0,Transmitter;Zigbee
21,1300,1832,0,Zero-dispersion wavelength;Directional antenna
22,1730,2011,0,Z-transform;Telecommunication
23,1833,1974,0,Wheatstone bridge;Electronics
24,1840,1842,0,Power supply;Quality control
25,1845,1846,0,Power supply;Railgun
26,1923,1972,0,Zobel network;Receiver (radio)
27,1969,2020,0,Computer;Relational model
28,2009,2010,0,Shrinking generator;Counter (digital)
29,2020,2100,0,Bare particular
30,-1900,608,1,Computer;Semiconductor;Receiver (radio);Vacuum tube;Diode;Digital circuit;Electricity;Telecommunication
31,-1900,608,1,Computer;Semiconductor;Receiver (radio);Vacuum tube;Diode;Digital circuit
32,-1900,101,1,Vacuum tube;Broadcasting;Telecommunication;Receiver (radio)
33,-1900,2100,1,Printed circuit board;Electronic amplifier
34,-1900,2100,1,Modulation;Compact audio cassette
35,-1900,2100,1,Amplitude modulation;White facsimile transmission
36,-1900,2100,1,Amateur radio;Radioshack
37,-1900,-1800,1,Microphone;Telecommunication;Receiver (radio);Video teleconference
38,-1900,2100,1,Signal (information theory);Four-wire circuit
39,-1900,2100,1,Speed of light;Electricity distribution
40,-1900,2100,1,Speed of light;Maxwell's equations
41,-1900,2100,1,Copper;Communications system engineering
42,-1900,2100,1,Electrochemistry;Photoelectric effect
43,-1900,2100,1,Cable television;Alternating Current
44,-1900,1907,1,Maxwell's equations;Speed of light;Light bulb;Electricity;Photon
45,-1900,1700,1,Computer;Semiconductor;Photoelectric effect;Receiver (radio);Photon;Vacuum tube;Diode;Digital circuit;Maxwell's equations;Speed of light;Electricity;Telecommunication
46,-1900,2100,1,Electronic switching system;Semiconductor device
47,-1900,608,1,Semiconductor;Vacuum tube;Diode;Amplifier;Semiconductor device;Negative resistance
48,-1900,2100,1,Four-wire circuit;Single-frequency signaling
49,-1899,2100,1,Computer;Negative-acknowledge character
50,-1899,2100,1,Printed circuit board;Electrical connector
51,-1899,2100,1,Digital circuit;Analog signal
52,-1899,2100,1,User (telecommunications);Single-frequency signaling
53,-1898,2100,1,Intercharacter interval;Start signal
54,-1800,120,1,Electromagnetic radiation;Telecommunication;Receiver (radio);Amplifier;Signal (information theory)
