i,birth,death,dim,nodes
0,-9000,2100,0,Domestication
1,-1900,1600,0,Language
2,-500,1600,0,Phylogenetics
3,-458,1600,0,Heredity
4,-350,1600,0,Anti-predator adaptation
5,-300,1600,0,Vestigiality
6,100,540,0,Evolutionary history of life
7,100,1686,0,Brassica oleracea
8,100,1907,0,Evolution of insects
9,100,1600,0,Insect evolution
10,100,540,0,Vertebrate paleontology
11,120,1600,0,Mitochondrial Eve
12,158,1600,0,Experimental evolution
13,315,1600,0,Evolution of mammals
14,375,1700,0,Tiktaalik
15,1500,1600,0,Galápagos Islands
16,1700,2001,0,Chronobiology
17,1800,1858,0,Population dynamics
18,1900,1964,0,Ecological genetics
19,1922,1995,0,Coefficient of relationship
20,2020,2100,0,Climatic adaptation
21,1687,1800,1,Species;Variety (botany)
22,1700,2100,1,Selective breeding;Evolutionary neuroscience
23,1700,2100,1,Transitional fossil;Evolution of fish
24,1700,1900,1,Creation-evolution controversy;Abiogenesis
25,1700,2100,1,Recent African origin of modern humans;Paleoanthropology
26,1800,2100,1,Alfred Russel Wallace;Wallace Line
27,1800,1858,1,Selective breeding;Gene
28,1800,1809,1,Modern synthesis (20th century);Tree of life (biology)
29,1802,2100,1,Evolutionary developmental biology;Phylogeny
30,1802,2100,1,Evolution of the eye;Convergent evolution
31,1809,2100,1,Charles Darwin;Nature versus nurture
32,1809,2100,1,Charles Darwin;Peppered moth evolution
33,1820,2100,1,The Origin of Species;Recapitulation theory
34,1820,2100,1,Recapitulation theory;On The Origin of Species
35,1856,1900,1,Gregor Mendel;Gene
36,1857,1900,1,Allele;Experimental evolution
37,1858,2100,1,Natural selection;Dog breeding
38,1859,2100,1,Human evolution;Aquatic adaptation
39,1859,2100,1,Mutation;Genetic variation
40,1859,2100,1,Abiogenesis;Aleksandr Oparin
41,1859,2100,1,Evolution of tetrapods;Aquatic adaptation
42,1859,2100,1,Genetic recombination;Genetic variation
43,1874,2100,1,Vestigiality;Human vestigiality
44,1884,2100,1,Symbiogenesis;Endosymbiosis
45,1884,2100,1,Symbiogenesis;Evolutionary history of plants
46,1884,2100,1,Endosymbiosis;Phylogeny
47,1889,1906,1,Extinction;Wallace effect
48,1889,1903,1,Allele;Wallace effect
49,1900,1995,1,Population genetics;Genetic recombination
50,1900,2100,1,Population genetics;Recent African origin of modern humans
51,1900,2100,1,Karyotype;Homologous chromosomes
52,1901,2100,1,Molecular evolution;Paleobiology
53,1901,2100,1,Homology (biology);Gene duplication
54,1901,2100,1,Phylogenetic tree;Paleobiology
55,1901,1966,1,Cladistics;Most recent common ancestor
56,1901,2100,1,Abiogenesis;Error threshold (evolution)
57,1901,2100,1,Gene;Gene duplication
58,1901,2100,1,Population genetics;Peppered moth
59,1901,2100,1,Evolution of complexity;Gene duplication
60,1901,2100,1,Paleozoology;Evolution of the horse
61,1902,2100,1,Brassica oleracea;Cultivar
62,1903,2100,1,Molecular phylogeny;Genotype
63,1903,2100,1,Genotype;Molecular systematics
64,1904,2100,1,Abiogenesis;Quasispecies model
65,1904,2100,1,Genotype;Quasispecies model
66,1904,2100,1,Genotype-environment correlation;Nature versus nurture
67,1906,2100,1,Speciation;Mitochondrial Eve
68,1907,2100,1,Galápagos Islands;Adaptive radiation
69,1907,2100,1,Cambrian explosion;Mass extinctions
70,1907,2100,1,Evolutionary history of life;Adaptive radiation
71,1907,2100,1,Adaptive radiation;Insect evolution
72,1907,2100,1,Clade;Mass extinctions
73,1908,2100,1,Adaptive radiation;Evolutionary radiation
74,1909,2100,1,Evolutionary radiation;Ordovician radiation
75,1912,1998,1,Phenotype;Particulate inheritance theory
76,1920,1994,1,Gene;Gene pool
77,1927,2100,1,Theodosius Dobzhansky;Wallace effect
78,1928,2100,1,Mendelian inheritance;Selfish DNA
79,1928,1983,1,Mutation;Selfish DNA
80,1928,2100,1,Red Queen hypothesis;Selfish DNA
81,1928,2100,1,W. D. Hamilton;Selfish DNA
82,1930,1998,1,Group selection;John Maynard Smith
83,1930,2100,1,Nature versus nurture;Genotype-environment interaction
84,1940,2100,1,Modern synthesis (20th century);Evolutionary taxonomy
85,1940,2100,1,Evolution of the horse;George Gaylord Simpson
86,1941,2100,1,Most recent common ancestor;Richard Dawkins
87,1941,1998,1,Richard Dawkins;Memetics
88,1941,2100,1,George Gaylord Simpson;Quantum evolution
89,1942,2100,1,Richard Dawkins;Endless Forms Most Beautiful (book)
90,1950,2100,1,Artificial selection;Life-history theory
91,1954,2100,1,Punctuated equilibrium;George Gaylord Simpson
92,1960,1998,1,Group selection;George C. Williams (biologist)
93,1962,1993,1,Speciation;Molecular clock
94,1962,2100,1,Evolutionary radiation;Molecular clock
95,1964,1995,1,Fitness (biology);Gene pool
96,1964,2100,1,Fitness (biology);Inclusive fitness
97,1964,2100,1,Co-evolution;Evolution of insects
98,1964,2100,1,Co-evolution;Insect evolution
99,1965,2100,1,Adaptation;Darwin's finches
100,1965,2100,1,Fitness (biology);Mutational meltdown
101,1966,2100,1,Adaptation;Breed
102,1966,2100,1,Phenotype;Breed
103,1967,2100,1,Population genetics;George R. Price
104,1967,2100,1,Genetic variation;Evolutionary capacitance
105,1970,2100,1,Evolutionary radiation;Evolution of cetaceans
106,1972,1973,1,Population genetics;Evolutionarily stable strategy
107,1973,2100,1,Creation-evolution controversy;Nothing in Biology Makes Sense Except in the Light of Evolution
108,1973,2100,1,Anti-predator adaptation;Signalling theory
109,1973,2100,1,Signalling theory;John Maynard Smith
110,1973,2100,1,Genetic variation;Richard Lewontin
111,1973,2100,1,Richard Lewontin;Genotype-phenotype distinction
112,1974,2100,1,Anti-predator adaptation;Aposematism
113,1980,2100,1,Allele;Coalescent theory
114,1981,2100,1,Population genetics;Joe Felsenstein
