i,birth,death,dim,nodes
0,-4500,2100,0,Genetic history of Europe
1,-2000,1951,0,Genetic history of Europe;Plant breeding
2,-800,1800,0,Genetic history of Europe;Ancient Greek
3,-550,-230,0,Dementia;Ancient Greek
4,-510,100,0,Ancient Greek;Pharmacogenomics
5,-500,100,0,Phylogenetics;Ancient Greek
6,-500,100,0,Deterministic;Ancient Greek
7,-458,-230,0,Heredity;Ancient Greek
8,-458,100,0,Familial trait;Heredity
9,-430,114,0,Immune system;Heredity
10,-430,1800,0,Immunity (medical);Heredity
11,-400,1800,0,Twin study;Heredity
12,-400,-399,0,Deterministic;Statistics
13,-300,1900,0,Heredity;Binomial expansion
14,-300,505,0,Binomial theorem;Binomial expansion
15,-200,1600,0,Deterministic;Fingerprint
16,100,142,0,Cell (biology);Genome project
17,100,1952,0,Heredity;Yeast artificial chromosome
18,100,1800,0,Cell (biology);Rho factor
19,120,150,0,Gamete;Histone
20,120,1906,0,Y-chromosomal Adam;Heredity
21,125,1800,0,Adam's Curse;Heredity
22,150,220,0,Cell (biology);Genomic imprinting
23,150,1833,0,Cell (biology);Okazaki fragment
24,160,628,0,Apert syndrome;Heredity
25,180,1800,0,Homeobox;Heredity
26,200,1838,0,Polysaccharide;Heredity
27,200,400,0,Y linkage;Heredity
28,200,400,0,Y linked;Heredity
29,246,1800,0,Viroid;Heredity
30,400,1248,0,Fingerprint;Science
31,500,2005,0,Patent;Heredity
32,500,1800,0,Gene family;Heredity
33,628,1800,0,Birth defect;Heredity
34,700,1864,0,Insertion sequence;Bacteria
35,1590,1677,0,Cell (biology);Pronucleus
36,1600,1880,0,Heredity;Intersex
37,1776,1800,0,Cancer;Purine
38,1865,2100,0,Lateral inhibition
39,1910,1962,0,Dna;Isotope
40,1924,2006,0,Palindrome;Biology
41,1930,1951,0,Gene;Mutation breeding
42,1949,1950,0,Molecular medicine;Biology
43,1960,2005,0,Gene;Colonoscopy
44,2013,2014,0,Genetics;Y-chromosomal Aaron
45,100,2100,1,Angiosperm;Ancient Greek
46,100,1930,1,Cell (biology);Gamete;Ancient Greek;Angiosperm
47,100,220,1,Ancient Greek;Cell (biology);Gamete;Reproductive cells
48,101,2100,1,Ancient Greek;Neoplasm
49,115,1858,1,Cell (biology);Sickle-cell disease;Familial trait;Haemophilia;Heredity
50,117,2100,1,Parkinson's disease;Huntington's disease
51,120,1882,1,Meiosis;Gamete;Ancient Greek;Angiosperm
52,120,1842,1,Cell (biology);Xyy syndrome;Meiosis;Gamete;Heredity
53,120,1822,1,Familial trait;Cell (biology);Gamete;Meiosis
54,120,1677,1,Cell (biology);Gamete;Meiosis;Reproductive cells
55,120,1842,1,Xyy;Xyy syndrome;Meiosis;Heredity
56,120,1991,1,Meiosis;Gamete;Xyy syndrome;Reduction division
57,142,1822,1,Cell (biology);Sickle-cell disease;Bacteria;Familial trait;Haemophilia;Immune system
58,142,2100,1,Bacteria;Promoter (biology)
59,142,1881,1,Cell (biology);Gamete;Reduction division;Bacteria
60,165,2100,1,Cancer;Promoter (biology)
61,165,2100,1,Cancer;Neoplasm
62,165,1800,1,Cell (biology);Bacteria;Cancer;Promoter (biology);Familial trait;Haemophilia
63,165,2001,1,Cell (biology);Sickle-cell disease;Bacteria;Human gene therapy;Cancer;Promoter (biology);Haemophilia;Gamete;Immune system
64,165,1838,1,Parkinson's disease;Cell (biology);Heredity;Sickle-cell disease;Bacteria;Cancer;Human gene therapy;Promoter (biology);Haemophilia;Immune system
65,166,2100,1,Ancient Greek;Sarcoma
66,166,1960,1,Cell (biology);Bacteria;Cancer;Promoter (biology);Sarcoma
67,232,2100,1,Melanoma;Human gene therapy
68,400,1911,1,Cell (biology);Sex linkage;Meiosis;Classical genetics;Gamete;Heredity
69,400,1856,1,Cell (biology);Sex linked;Meiosis;Classical genetics;Gamete;Heredity
70,400,1834,1,Sex-influenced trait;Sex linked;Classical genetics;Heredity
71,400,1834,1,Sex linked;Classical genetics;Heredity;X linkage
72,400,1834,1,Sex linked;X linked;Classical genetics;Heredity
73,400,1834,1,Cell (biology);Bacteria;Sex linked;Cancer;Promoter (biology);Haemophilia;Heredity
74,400,1800,1,Sex-influenced trait;Sex linked;Haemophilia;Classical genetics
75,400,1800,1,Haemophilia;Sex linked;Classical genetics;X linkage
76,400,1800,1,Haemophilia;Sex linked;X linked;Classical genetics
77,400,1911,1,Sex linkage;Y linked;Classical genetics;X linkage
78,500,1822,1,Cell (biology);Homeo-domain;Bacteria;Promoter (biology);Amino acid
79,566,2100,1,Leukemia;Lymphoma
80,628,1800,1,Cell (biology);Congenital;Heredity;Bacteria
81,1300,2100,1,Informed consent;Xyy
82,1595,2100,1,Cystic fibrosis;Congenital
83,1595,1800,1,Cell (biology);Sickle-cell disease;Bacteria;Cancer;Human gene therapy;Promoter (biology);Cystic fibrosis;Haemophilia;Congenital;Heredity
84,1600,1800,1,Cell (biology);Evolution;Heredity;Bacteria
85,1600,1842,1,Cell (biology);Ancient Greek;Evolution;Angiosperm;Gamete;Heredity
86,1600,1800,1,Cell (biology);Homeo-domain;Bacteria;Evolution;Promoter (biology);Homology (biology);Heredity
87,1600,1800,1,Cell (biology);Bacteria;Sex linked;Cancer;Evolution;Promoter (biology);Classical genetics;Haemophilia;Heredity
88,1600,1735,1,Familial trait;Cell (biology);Evolution;Heredity
89,1614,2100,1,Metabolism;Pharmacogenomics
90,1614,1838,1,Cell (biology);Human gene therapy;Cystic fibrosis;Metabolism;Congenital;Heredity
91,1677,2002,1,Xyy syndrome;Xyy;Spermatozoon;Reduction division;Heredity
92,1678,2100,1,Congenital;Germ cell
93,1686,1822,1,Amino acid;Cell (biology);Species;Heredity
94,1686,1869,1,Cell (biology);Species;Amino acid;Somatic cells
95,1701,2100,1,Cancer;Ionizing radiation
96,1701,2015,1,Ionizing radiation;Lymphoma;Leukemia;Cancer
97,1735,2100,1,Biology;Science
98,1735,1991,1,Cell (biology);Species;Parental imprinting;Biology;Histone;Gamete;Amino acid
99,1735,1800,1,Cell (biology);Pharmacogenomics;Bacteria;Promoter (biology);Biology;Genomics
100,1736,2100,1,Deterministic;Stochastic
101,1755,2100,1,Statistics;Probability
102,1800,2100,1,Genetics;Huntington's disease
103,1800,2100,1,Genetics;Eugenics
104,1800,2100,1,Genetics;Nih
105,1800,1842,1,Cell (biology);Genomic imprinting;Genetics;Gene;Somatic cell
106,1800,1869,1,Bacteria;Biology;Genetics;Genome project;Gene
107,1800,1838,1,Cell (biology);Species;Parental imprinting;Biology;Histone;Gene;Amino acid
108,1800,2100,1,Behavioural genetics;Scientific method
109,1800,2100,1,Scientific method;Behavioral genetics
110,1800,2002,1,Virion;Ancient Greek;Biology;Genetics;Gene
111,1800,1931,1,Cell (biology);Virus;Biology;Expressed gene;Gene;Molecule
112,1800,1931,1,Cell (biology);Virion;Biology;Gene;Molecule
113,1800,1858,1,Cell (biology);Virus;Parental imprinting;Biology;Gene
114,1800,2100,1,Gene therapy;Virion
115,1800,1838,1,Gene therapy;Cell (biology);Virion;Expressed gene
116,1800,2100,1,Cystic fibrosis;Bacteriophage
117,1800,2100,1,Cystic fibrosis;Phage
118,1800,1880,1,Cell (biology);Parental imprinting;Cancer;Virus;Expressed gene;Histone;Gene;Animal model
119,1800,1880,1,Cell (biology);Model organisms;Parental imprinting;Cancer;Virus;Expressed gene;Histone;Gene
120,1800,2100,1,Alcoholism;Genetic determinism
121,1800,2100,1,Somatic cell;Genetic determinism
122,1800,1838,1,Cell (biology);Homeo-domain;Parental imprinting;Virus;Bacteriophage;Expressed gene;Histone;Gene
123,1800,2100,1,Virion;Melanoma
124,1800,2100,1,Virion;Immunity (medical)
125,1800,2100,1,Behavioral genetics;Variance
126,1800,1838,1,Parental imprinting;Gene family;Expressed gene;Histone;Gene
127,1800,2100,1,Deterministic;Genetic determinism
128,1800,1869,1,Species;Weismann barrier;Human gene therapy;Biology;Gene;Somatic cells
129,1801,2100,1,Sex linkage;Reciprocal cross
130,1801,2100,1,Reciprocal cross;Sex linked
131,1801,2100,1,Reciprocal cross;Sex-influenced trait
132,1801,2100,1,Reciprocal cross;X linkage
133,1801,2100,1,Reciprocal cross;X linked
134,1804,1991,1,Cell (biology);Species;Xyy syndrome;Biology;Meiosis;Expressed gene;Cell nucleus;Somatic cells
135,1804,1991,1,Cell (biology);Species;Biology;Meiosis;Expressed gene;Cell nucleus;Xyy;Somatic cells
136,1822,1905,1,Noonan syndrome;Mutation;Genetics;Heredity;Huntington's disease
137,1822,1880,1,Meiosis;Conditional mutation;Expressed gene;Biology
138,1822,1880,1,Meiosis;Gene mutation;Conditional mutation;Biology
139,1822,1880,1,Meiosis;Mutation event;Conditional mutation;Biology
140,1822,1880,1,Meiosis;Spontaneous mutation;Conditional mutation;Biology
141,1822,1869,1,Cancer;Conditional mutation;Biology;Pyrimidine;Purine;Gene;Purines
142,1822,1869,1,Gene mutation;Conditional mutation;Purine;Biology
143,1822,1869,1,Mutation event;Conditional mutation;Purine;Biology
144,1822,1869,1,Spontaneous mutation;Conditional mutation;Purine;Biology
145,1827,2100,1,Molecule;Isomer
146,1830,1838,1,Organelle;Cell (biology);Virus;Animal model
147,1830,2100,1,Organelle;Cryptic coloration
148,1830,1838,1,Organelle;Cell (biology);Virus;Model organisms
149,1830,1869,1,Cell nucleus;Nucleolus;Gene;Cancer
150,1833,1869,1,Cell (biology);Conditional mutation;Biology;Enzyme;Purine;Cell nucleus;Gene
151,1833,1838,1,Enzyme;Cell (biology);Virus;Phage
152,1833,1869,1,Pyrimidine;Enzyme;Purine;Purines
153,1834,1869,1,Cell (biology);Active site;Biology;Enzyme;Cell nucleus;Gene
154,1834,1869,1,Species;Active site;Amino acid;Biology
155,1834,1838,1,Duchenne muscular dystrophy;Cell (biology);Virion;Gene therapy;Cell nucleus;Gene
156,1838,2100,1,Protein;Gel electrophoresis
157,1838,1995,1,Xyy syndrome;Biology;Genetics;Mutation;Birth defect;Down syndrome;Congenital
158,1838,1839,1,Genetics;Xyy syndrome;Congenital;Down syndrome
159,1838,2100,1,Down syndrome;Familial trait
160,1838,1839,1,Xyy;Genetics;Xyy syndrome;Down syndrome
161,1839,2100,1,Protein;Endosperm
162,1839,2100,1,Endosperm;Parental imprinting
163,1840,1864,1,Mitochondrion;Bacteria;Cell nucleus;Protein;Amino acid
164,1840,2100,1,Diabetes mellitus;Mitochondrion
165,1841,2100,1,Extranuclear inheritance;Familial trait
166,1842,2004,1,Flow karyotyping;Cell (biology);Conditional mutation;Biology;Genetics;Mutation;Down syndrome;Congenital;Huntington's disease
167,1842,1950,1,Flow karyotyping;Down syndrome;Ancient Greek;Harlequin chromosome
168,1842,1950,1,Flow karyotyping;Idiogram;Down syndrome;Ancient Greek
169,1842,1950,1,Flow karyotyping;Down syndrome;Ancient Greek;Idiotypic variation
170,1844,1869,1,Active site;Guanine;Promoter (biology);Biology;Enzyme;Genetics;Purine
171,1844,1978,1,Active site;Guanine;Biology;Enzyme;Purine;Gene;Huntington's disease
172,1844,2100,1,Guanine;Cryptic coloration
173,1844,1869,1,Flow karyotyping;Active site;Guanine;Biology;Enzyme;Genetics;Purine
174,1844,1869,1,Active site;Guanine;Biology;Enzyme;Genetics;Purine;Harlequin chromosome
