i,birth,death,dim,nodes
0,-3000,2100,0,Mathematics
1,-1550,100,0,Prime number
2,1736,1801,0,Euler's theorem
3,1830,1879,0,Crystallographic point group
4,1899,1910,0,Øystein Ore
5,180,1830,1,Symmetry group;Klein four-group
6,1150,1830,1,Permutation;Symmetry group
7,1151,2100,1,Prime number;Up to
8,1535,2100,1,Galois theory;Integer
9,1782,1833,1,Abstract algebra;Prime number
10,1783,2100,1,Abstract algebra;Friedrich Wilhelm Levi
11,1800,2100,1,Operation (mathematics);Abelian group
12,1801,1951,1,Integer;Modular arithmetic
13,1801,1904,1,Abelian group;Lagrange's theorem (group theory)
14,1802,2100,1,Abelian group;Niels Henrik Abel
15,1812,2100,1,Finite field;Prime number
16,1831,2100,1,Abelian group;Divisible group
17,1831,2100,1,Algebraic geometry;Algebraic group
18,1832,1901,1,Abelian group;Elliptic curve
19,1832,2100,1,Group isomorphism;List of small groups
20,1832,2100,1,Group isomorphism;Elliptic curve
21,1832,2100,1,Modular arithmetic;Congruence relation
22,1832,2100,1,Algebraic group;Quantum group
23,1833,2100,1,Galois theory;Automorphism group
24,1833,2100,1,Automorphism group;Thompson group (finite)
25,1835,2100,1,Abelian group;Grothendieck group
26,1850,2100,1,Simple group;Simple Lie group
27,1850,2100,1,Abelian group;Simple Lie group
28,1857,2100,1,Group isomorphism;Order automorphism
29,1857,2100,1,Quaternion group;Quaternion
30,1857,2100,1,Burnside's lemma;Augustin Louis Cauchy
31,1859,2100,1,Ring (mathematics);Group ring
32,1860,2100,1,Group ring;Group algebra
33,1880,2100,1,Schoenflies notation;Space group
34,1885,2100,1,Frattini subgroup;Giovanni Frattini
35,1898,2100,1,Lie group;Affine representation
36,1898,2100,1,Richard Dedekind;Hamiltonian group
37,1898,2100,1,Group homomorphism;Affine representation
38,1898,2100,1,Group cohomology;Affine representation
39,1898,2100,1,Automorphism group;Affine representation
40,1898,2100,1,Euclidean group;Affine representation
41,1900,2100,1,Matrix (math);Computer algebra system
42,1901,2100,1,Subgroup;Jakob Nielsen (mathematician)
43,1902,2100,1,Integer;Congruence subgroup
44,1902,2100,1,Lattice (group);Minkowski's theorem
45,1902,2100,1,Group homomorphism;Burnside's problem
46,1902,2100,1,Sylow theorems;Peter Ludwig Mejdell Sylow
47,1902,2100,1,Symmetric group;Multiplication table
48,1902,2100,1,Hamiltonian group;Reinhold Baer
49,1902,2100,1,Algebraic group;Congruence subgroup
50,1902,2100,1,William Burnside;Burnside's problem
51,1902,2100,1,Issai Schur;Burnside's problem
