i,birth,death,dim,nodes
0,-8000,2100,0,Farmer
1,-5000,501,0,Debt;Farmer
2,-5000,-328,0,Factory;Interest
3,-3000,-2999,0,Law;Interest
4,-3000,124,0,Trade;Legal
5,-3000,135,0,Law;Post mortem
6,-2800,223,0,Law;Cannabis (drug)
7,-2750,546,0,Law;Surety bond
8,-2600,-500,0,Sacred text;Legal
9,-1754,-1700,0,Debt;Bank
10,-1700,117,0,International law;Prostitution
11,-1500,151,0,Sick pay;International law
12,-1200,1789,0,Extradition;Law
13,-1152,224,0,Strike action;International law
14,-800,-799,0,Animal rights;Legal
15,-800,600,0,Law;Roman Forum
16,-700,-621,0,Legal;Democracy
17,-600,192,0,Law;Manslaughter
18,-600,117,0,Frenchman;International law
19,-600,1865,0,Law;Toll road
20,-500,100,0,Law;Intellectual property
21,-500,-499,0,Law;Tax
22,-483,2016,0,Law;Citizen's dividend
23,-415,150,0,Voluntary association;Frenchman
24,-399,301,0,Freedom of religion;Death penalty
25,-399,900,0,Law;Censorship
26,-330,-328,0,Education;Factory
27,-326,136,0,Criminal;Debt bondage
28,-300,400,0,Deductive reasoning;Law
29,-300,143,0,Capital punishment;Circumcision
30,-300,201,0,Tax law;Land value tax
31,100,123,0,Law;Divorce
32,100,150,0,Voluntary association;American Civil Rights Movement
33,100,2010,0,Law;Burgage
34,100,1315,0,Criminal;Emancipation Proclamation
35,100,2100,0,Lübeck law
36,101,142,0,Capital punishment;Vigilante
37,108,1000,0,Federal Communications Commission;Law
38,110,1100,0,Crime;Speed limit
39,116,133,0,Sacred text;Asharite
40,116,192,0,Diplomatic immunity;Law of treaties
41,116,1790,0,Law;Vienna Convention on the Law of Treaties
42,120,1914,0,Law;Frequency
43,125,1500,0,Law;Codex
44,127,136,0,Slavery at common law;Criminal
45,150,1500,0,Fair;International law
46,172,1601,0,Law;Debenture
47,200,242,0,Refugee;Crime
48,200,1626,0,Orphan;Common law
49,200,313,0,Law;United States Declaration of Independence
50,200,400,0,Jewish Theological Seminary of America;Reform Judaism
51,230,2015,0,Law;War reparations
52,263,1701,0,Bluebook;Common law
53,300,313,0,Edict of Milan;Law
54,300,2002,0,Ferry;Common law
55,311,1789,0,Common law;Semble
56,320,500,0,World Trade Organization;Doctrine of equivalents
57,320,1100,0,Law;Private Express Statutes
58,330,1316,0,Slavery;Homestead Act
59,400,500,0,Law;Medical ethics
60,400,1257,0,Conduct money;Common law
61,415,1890,0,Expert determination;Common law
62,500,504,0,Law;Corpus juris secundum
63,500,1756,0,Sex offender registries in the United States;Common law
64,505,1988,0,Tax haven;Sharia law
65,509,2100,0,Fiat
66,549,1800,0,Law;Paraphilia
67,576,2001,0,Compounding a felony;Common law
68,683,1601,0,Treasure trove;Common law
69,700,2020,0,Fisheries management;International law
70,700,2009,0,Slavery;Impotence
71,802,1189,0,Prerogative writ;Common law
72,858,1900,0,Trinoda necessitas;Government
73,987,1285,0,Primogeniture;Common law
74,1100,1617,0,Crime;Highway
75,1100,1342,0,Tosafists;Sharia law
76,1200,1701,0,Abeyance;Common law
77,1200,1600,0,Bailiff;Criminal law
78,1200,1801,0,Law;Accountability
79,1300,2009,0,Law;Tipstaff
80,1400,1601,0,Law;Seven deadly sins
81,1400,2020,0,Law;De minimis
82,1485,1787,0,Court calendar;Rape
83,1485,1787,0,Court docket;Rape
84,1500,1601,0,Terra nullius;Common law
85,1500,2010,0,Law;Court of High Commission
86,1500,1790,0,Law;Regulatory taking
87,1500,1981,0,Real property;Mopery
88,1540,1800,0,Border control;International law
89,1556,1949,0,Articles of War;Law
90,1568,1570,0,Flag;Signature
91,1591,1800,0,Shoplifting;Law
92,1600,1601,0,Prison;Probable cause
93,1600,1601,0,Property;Life
94,1600,1932,0,Blue law;Minor (law)
95,1600,2020,0,Law;Ipse dixit
96,1617,2010,0,Tenement;Common law
97,1634,1932,0,Privy Council of Sweden;Australian Constitution
98,1700,1893,0,License;Franc
99,1700,2025,0,Law;Best evidence rule
100,1773,2000,0,Real property;Fair Play Men
101,1775,2010,0,Occupational disease;Common law
102,1777,1948,0,Rights;Herem (censure)
103,1781,1789,0,Legislature;Full faith and credit
104,1788,2008,0,Judge advocate;Sharia law
105,1791,1902,0,Legislature;Fox's Libel Act
106,1800,1801,0,Construction;Contract
107,1800,2100,0,Family (biology)
108,1805,2020,0,Law;Quaere
109,1822,1869,0,Mutation;Life
110,1834,2009,0,John Doe;Common law
111,1862,2020,0,High Courts of India;United States Constitution
112,1870,1871,0,Military alliance;Slavery
113,1877,1900,0,Rape;Blood quantum laws
114,1879,1999,0,Consent decree;Pleading
115,1886,1952,0,Copyright law of the European Union;Legal
116,1893,1978,0,Rights;Anomie
117,1895,1900,0,Criminal;Failure
118,1895,1896,0,Fail;Failure
119,1900,2008,0,Law;Best interests
120,1906,1996,0,Headnote;Law
121,1917,2022,0,Law;Ratum sed non consummatum
122,1930,1960,0,Rape;Indecent exposure
123,1931,2009,0,Prime suspect;Criminal law
124,1931,1932,0,Queen's Privy Council for Canada;Australian Constitution
125,1939,2014,0,Law;Satyagraha
126,1940,2018,0,Law;Jurat
127,1946,1947,0,Constitution of France;Decree
128,1950,2024,0,Draft document;Contract
129,1960,2009,0,Law;Accounts payable
130,1960,1962,0,Timeshare;Real estate
131,1968,1980,0,Law;Strict construction
132,1969,2020,0,United States Constitution;High Court of Malaya
133,1969,2020,0,United States Constitution;High Court of Sabah and Sarawak
134,1970,2010,0,Law;Rocket docket
135,1976,1977,0,Virtue ethics;Human rights
136,1994,2013,0,Radical transparency;Privacy
137,1996,2009,0,Group Litigation Order;Tribunal
138,1997,2021,0,High Court (Hong Kong);Tribunal
139,1997,2007,0,High Court of Fiji;Tribunal
