i,birth,death,dim,nodes
0,-6600,2100,0,Music
1,-5000,-1900,0,Interest
2,-4300,-1900,0,List of perfect numbers
3,-3150,-1700,0,Mural
4,-3000,-1999,0,Mathematics
5,-3000,-1900,0,Decimal
6,-2400,-1800,0,Binary number
7,-2000,-1770,0,Names for the number 0 in English
8,-2000,1884,0,Mathematical fiction
9,-2000,-1800,0,Quadratic equation
10,-2000,-1899,0,Esquisse d'un Programme
11,-2000,-1900,0,Prismatoid
12,-2000,-1900,0,Bayesian statistics
13,-2000,-1800,0,Centrifugal force
14,-2000,1899,0,Computus
15,-2000,1802,0,Commandino's theorem
16,-2000,-1900,0,Ellipsoid method
17,-2000,-199,0,Smale's problems
18,-2000,-1900,0,Manifold Destiny
19,-2000,2009,0,Microscale and macroscale models
20,-2000,-1900,0,Necklace problem
21,-2000,2100,0,Syntactic Structures
22,-1900,-1600,0,Long and short scales
23,-1900,-1898,0,Classical logic
24,-1900,1714,0,Tic-tac-toe
25,-1900,-1899,0,Analysis of variance
26,-1900,-1800,0,Probability bounds analysis
27,-1900,2021,0,Aristotle's wheel paradox
28,-1900,-1800,0,Axiom of reducibility
29,-1900,-1700,0,Zellige
30,-1900,1619,0,Half-life
31,-1900,-1700,0,Loss function
32,-1900,-1898,0,Slide rule
33,-1900,-1700,0,Geometric probability
34,-1900,1957,0,Institut Henri Poincaré
35,-1900,-1899,0,Structural equation modeling
36,-1900,-1799,0,Longitude
37,-1900,-1200,0,Quantile regression
38,-1900,-1799,0,Complex system
39,-1900,-1300,0,Chuvash numerals
40,-1900,1932,0,Raymond Cattell
41,-1900,1669,0,Athanasius Kircher
42,-1900,-1800,0,Self-oscillation
43,-1900,-1800,0,Cybernetics
44,-1900,-1800,0,Distance geometry
45,-1900,1914,0,M-theory
46,-1900,1977,0,Jay Hambidge
47,-1900,-1898,0,E series of preferred numbers
48,-1900,-1299,0,Five-pointed star
49,-1900,1946,0,Fold-and-cut theorem
50,-1900,1890,0,Fundamental ephemeris
51,-1900,500,0,Casino
52,-1900,-1700,0,Knight's tour
53,-1900,1637,0,Hans Schneider Prize in Linear Algebra
54,-1900,-1798,0,Population modeling
55,-1900,-1899,0,Hjulström curve
56,-1900,-1899,0,Mercator projection
57,-1900,-1700,0,Relief
58,-1900,-1800,0,List of Jewish mathematicians
59,-1900,-1799,0,Archimedes Palimpsest
60,-1900,-100,0,Predictive inference
61,-1900,1876,0,Statistical syllogism
62,-1900,2100,0,Math rock
63,-1900,-1700,0,Heart
64,-1900,-1800,0,Named set theory
65,-1900,1937,0,Portuguese Mathematical Society
66,-1900,1802,0,Slonimski's Theorem
67,-1900,-1300,0,T puzzle
68,-1900,-1700,0,Tegelspreuken
69,-1900,-1600,0,Track transition curve
70,-1900,1890,0,Vicious circle principle
71,-1900,-1700,0,White
72,-1800,-1600,0,Axonometric projection
73,-1800,2001,0,Atomic number
74,-1800,-1799,0,Automedian triangle
75,-1800,1950,0,Exponential smoothing
76,-1800,-1799,0,Cycloid
77,-1800,1650,0,Change ringing
78,-1800,1928,0,Connexive logic
79,-1800,1894,0,Dots and Boxes
80,-1800,1940,0,Double bubble conjecture
81,-1800,1894,0,Elements of Algebra
82,-1800,-1699,0,World Geodetic System
83,-1800,1932,0,Gibbs' inequality
84,-1800,1973,0,Tendril perversion
85,-1800,1827,0,Hilbert's lemma
86,-1800,1738,0,Onsager reciprocal relations
87,-1800,1978,0,Plato's number
88,-1800,2020,0,Prony equation
89,-1800,1897,0,Quadratic knapsack problem
90,-1800,132,0,String art
91,-1700,-1699,0,Perspective (graphical)
92,-1700,100,0,Points of the compass
93,-1700,1946,0,Catastro of Ensenada
94,-1700,-1699,0,Sortition
95,-1700,-1500,0,Colon (punctuation)
96,-1700,-1500,0,Misère
97,-1700,-1299,0,Dominoes
98,-1700,1850,0,Gentleman's Diary
99,-1700,1872,0,Goat problem
100,-1700,2020,0,Olbers' paradox
101,-1700,-100,0,Lambert's problem
102,-1700,1900,0,Monte Carlo methods for option pricing
103,-1700,1873,0,Regnal number
104,-1700,1619,0,Overlapping circles grid
105,-1700,2100,0,Pythagorean tuning
106,-1700,2100,0,Roof tiles
107,-1700,-1600,0,Voting paradox
108,-1700,-500,0,Triangulation (surveying)
109,-1600,1981,0,Clairaut's theorem
110,-1600,-1599,0,Reproducibility
111,-1600,1914,0,Experimental mathematics
112,-1600,-1400,0,Pascal's calculator
113,-1500,-1499,0,Counting rods
114,-1500,2010,0,Inclined plane
115,-1500,-1100,0,Multiplication sign
116,-1400,-1300,0,Long hundred
117,-1100,1898,0,Text figures
118,-1000,1907,0,Go and mathematics
119,-900,-400,0,Utpala
120,-800,1872,0,Propositiones ad Acuendos Juvenes
121,-500,-400,0,Āryabhaṭa numeration
122,-500,2100,0,Lemma (psycholinguistics)
123,-400,2012,0,Cherry picking
124,-300,-299,0,Trairūpya
125,-200,1906,0,Aristarchian symbols
126,-200,1619,0,Versine
127,-100,-99,0,Linear interpolation
128,-100,2025,0,Equant
129,1,1899,0,Bibi-binary
130,100,1940,0,Codd's cellular automaton
131,100,1913,0,Heaps' law
132,100,1933,0,Part-of-speech tagging
133,100,1961,0,Australian Mathematics Competition
134,100,1932,0,Local convex hull
135,101,1972,0,Aiken code
136,104,1959,0,List of International Mathematical Olympiads
137,108,1614,0,Napierian logarithm
138,123,1879,0,Centrosymmetry
139,133,1890,0,Korea Institute for Advanced Study
140,135,136,0,Geodesic dome
141,135,1805,0,Learning classifier system
142,135,1948,0,Ulam's game
143,150,1960,0,Comprehensive School Mathematics Program
144,159,1959,0,World Education Games
145,180,1974,0,Karplus equation
146,200,1888,0,Memoirs of the American Mathematical Society
147,219,1879,0,Fibrifold
148,220,1950,0,Journal of Statistical Physics
149,242,1874,0,Banach game
150,250,1952,0,Political forecasting
151,269,1755,0,Double counting (fallacy)
152,270,2010,0,Statistical Yearbook of Switzerland
153,335,1786,0,Opinion poll
154,365,1932,0,Cyclostationary process
155,367,1900,0,Vedic Mathematics (book)
156,479,2100,0,School of Names
157,500,1768,0,Great ellipse
158,500,2100,0,European Summer School in Logic, Language and Information
159,500,1888,0,Mixed radix
160,533,1984,0,Chinese Mathematical Society
161,892,2031,0,Hellin's law
162,917,2100,0,Proof (play)
163,950,1896,0,Casting out nines
164,1000,1971,0,Kerala Mathematical Association
165,1011,1973,0,Comma code
166,1088,1896,0,1089 (number)
167,1400,1755,0,Poker probability
168,1436,2020,0,Computing (journal)
169,1453,2007,0,Darb-e Imam
170,1457,1657,0,1458 (number)
171,1470,1894,0,De Prospectiva pingendi
172,1490,1491,0,Vitruvian Man
173,1500,1927,0,Interdisciplinary Contest in Modeling
174,1560,1928,0,Greater-than sign
175,1605,1875,0,Ordinal numeral
176,1629,1907,0,Sign test
177,1637,1888,0,Fermat's Last Theorem (book)
178,1661,1952,0,Book of Lemmas
179,1717,1865,0,Spitalfields Mathematical Society
180,1718,1981,0,Cayley's sextic
181,1737,1979,0,Proof of the Euler product formula for the Riemann zeta function
182,1760,1980,0,Lambert's cosine law
183,1760,1961,0,Princeton University Department of Mathematics
184,1768,1769,0,Institutionum calculi integralis
185,1772,2011,0,Tangent developable
186,1777,1981,0,Lichtenberg figure
187,1778,1895,0,Royal Dutch Mathematical Society
188,1781,1907,0,Earth mover's distance
189,1797,2100,0,Vickrey auction
190,1800,1969,0,Smart number
191,1808,1971,0,The Mathematical Diary
192,1817,1948,0,Microcontinuity
193,1821,1982,0,Wave surface
194,1827,1885,0,Mass point geometry
195,1832,1972,0,Necker cube
196,1832,1981,0,Racemic acid
197,1834,2025,0,Jacobi's four-square theorem
198,1839,1902,0,Hopf maximum principle
199,1840,1940,0,Maximum power theorem
200,1841,1973,0,Age of the captain
201,1848,1880,0,Hyperion (moon)
202,1852,2023,0,Pompeiu's theorem
203,1853,1886,0,International Statistical Institute
204,1856,1968,0,Saint-venant's theorem
205,1858,1977,0,Shanks's square forms factorization
206,1858,2100,0,Gradshteyn and Ryzhik
207,1861,1976,0,Weingarten equations
208,1863,1905,0,Random walk hypothesis
209,1865,1888,0,Van Amringe Mathematical Prize
210,1868,1980,0,Hausdorff Center for Mathematics
211,1870,1885,0,Fielden Professor of Pure Mathematics
212,1872,1898,0,Betti's theorem
213,1873,1899,0,Singularity (system theory)
214,1874,1976,0,Circle of confusion
215,1877,1878,0,Mathematical Society of Japan
216,1878,1976,0,Van Aubel's theorem
217,1879,1914,0,Poussin graph
218,1880,1957,0,Telegrapher's equations
219,1884,2020,0,Circolo Matematico di Palermo
220,1885,1933,0,Learning curve
221,1888,2100,0,Newsvendor model
222,1889,1899,0,Kahun Papyri
223,1890,1910,0,German Mathematical Society
224,1890,1945,0,The Classical Groups
225,1893,1894,0,Prasanta Chandra Mahalanobis
226,1893,1941,0,Lauricella hypergeometric series
227,1894,1976,0,Falling cat problem
228,1895,1904,0,Cousin's theorem
229,1897,1940,0,Ray class field
230,1897,1978,0,Dedekind number
231,1897,2100,0,Number (sports)
232,1900,2026,0,Painlevé transcendents
233,1900,1928,0,Hilbert's eighteenth problem
234,1900,1983,0,Hilbert's thirteenth problem
235,1900,1980,0,Hilbert's twenty-second problem
236,1902,2005,0,Bendixson's inequality
237,1904,1905,0,Classical test theory
238,1904,1927,0,Duality (electrical circuits)
239,1904,1930,0,Thomson problem
240,1905,1935,0,Projection (measure theory)
241,1905,1926,0,Twin paradox
242,1906,2100,0,Washburn's equation
243,1907,1982,0,Math circle
244,1908,1930,0,Kayles
245,1908,1982,0,Minkowski diagram
246,1910,1917,0,A Disappearing Number
247,1910,1952,0,History of network traffic models
248,1912,1933,0,Coefficient of colligation
249,1912,1981,0,Lauricella's theorem
250,1913,1997,0,Potential energy surface
251,1915,1963,0,Institute of Mathematical Sciences (Spain)
252,1915,1926,0,Malibu tile
253,1916,1966,0,Equichordal point problem
254,1916,1971,0,Opaque forest problem
255,1917,1937,0,Polish Mathematical Society
256,1917,2010,0,Pocklington's algorithm
257,1918,2011,0,Lattès map
258,1918,2031,0,Occupancy frequency distribution
259,1918,1981,0,Causal loop diagram
260,1919,1933,0,Holtsmark distribution
261,1920,1950,0,Knightian uncertainty
262,1920,1946,0,Lot quality assurance sampling
263,1920,2027,0,National Resident Matching Program
264,1920,2100,0,Soliton (optics)
265,1925,2009,0,The Cunningham project
266,1926,1949,0,Cointegration
267,1926,1930,0,Borůvka's algorithm
268,1927,1933,0,Fréchet distribution
269,1927,1940,0,Wigner D-matrix
270,1928,1987,0,Autowave
271,1930,1931,0,Particle physics and representation theory
272,1931,1995,0,Godeaux surface
273,1931,1932,0,Quasi-stationary distribution
274,1932,1980,0,Esscher transform
275,1933,1950,0,Projections onto convex sets
276,1933,1952,0,Thompson sampling
277,1934,2031,0,Guesstimate
278,1934,1956,0,Operator monotone function
279,1935,1966,0,Binary game
280,1937,2100,0,Public Opinion Quarterly
281,1938,2016,0,The Fifty-Nine Icosahedra
282,1938,2100,0,Convention concerning Statistics of Wages and Hours of Work, 1938
283,1938,1940,0,Clos network
284,1938,1945,0,Zel'dovich number
285,1939,2027,0,Bronshtein and Semendyayev
286,1939,2011,0,Éléments de mathématique
287,1939,2022,0,Elo rating system
288,1940,1942,0,6-j symbol
289,1940,2021,0,Center pivot irrigation
290,1940,1958,0,Envy-free cake-cutting
291,1940,2031,0,Unseen species problem
292,1940,2018,0,Von Neumann universal constructor
293,1940,1970,0,Monte Carlo tree search
294,1942,1947,0,Analytic and enumerative statistical studies
295,1944,1949,0,Institute of Statistical Mathematics
296,1944,2010,0,Moody chart
297,1945,1976,0,The Aleph (short story)
298,1945,1992,0,Newton Gateway to Mathematics
299,1946,1980,0,Applied Mathematics Panel
300,1946,1947,0,Moyal bracket
301,1947,1980,0,Wiener index
302,1947,1960,0,Meaning and Necessity
303,1948,1969,0,Compound of three octahedra
304,1948,1958,0,Congruence coefficient
305,1948,1949,0,Hubbert curve
306,1948,1959,0,Operational Research Society
307,1949,2031,0,Kish grid
308,1949,2005,0,Werner Nahm
309,1950,1951,0,Landweber iteration
310,1950,1955,0,Modular elliptic curve
311,1950,1951,0,Genetic programming
312,1950,1957,0,Publicationes Mathematicae Debrecen
313,1950,1973,0,Higgs mechanism
314,1950,1983,0,Morison equation
315,1950,1982,0,Phase reduction
316,1951,1963,0,Rauch comparison theorem
317,1952,2018,0,May's theorem
318,1953,1976,0,Stochastic computing
319,1954,2031,0,Gravity model of trade
320,1956,1999,0,Owen's T function
321,1956,2100,0,Petrick's method
322,1957,1967,0,Upper bound theorem
323,1957,2031,0,National Health Interview Survey
324,1957,1975,0,Swedish Operations Research Association
325,1958,1959,0,2-opt
326,1958,1962,0,Fantasia Mathematica
327,1959,1976,0,Curvilinear perspective
328,1960,2031,0,Allan variance
329,1960,1974,0,Bilinski dodecahedron
330,1960,1982,0,Black Path Game
331,1960,1961,0,Spin glass
332,1960,2031,0,Labour Force Survey
333,1961,1982,0,Fano resonance
334,1962,2000,0,Büchi automaton
335,1962,1976,0,The Library of Babel
336,1963,1964,0,Aubrey de Grey
337,1963,1982,0,Micromagnetics
338,1963,2009,0,Research Institute for Mathematical Sciences
339,1964,2020,0,Handbook of mathematical functions
340,1964,1995,0,Icophone
341,1966,1979,0,International Symposium on Symbolic and Algebraic Computation
342,1966,1967,0,Lobachevsky (song)
343,1967,2021,0,Beer can pyramid
344,1967,1980,0,Bühlmann model
345,1968,1982,0,Hyperstability
346,1969,1972,0,Lifting theory
347,1969,1970,0,West Coast Number Theory
348,1969,1982,0,Merton's portfolio problem
349,1970,1971,0,Successive linear programming
350,1970,2014,0,Conrad Wolfram
351,1970,1982,0,Julia Robinson Mathematics Festival
352,1970,2100,0,Landscape evolution model
353,1970,2100,0,Lisp Algebraic Manipulator
354,1970,1976,0,Q-analysis
355,1970,2008,0,Sofic
356,1970,1981,0,Workshop on Numerical Ranges and Numerical Radii
357,1971,1989,0,Association for Women in Mathematics
358,1972,2009,0,Normally hyperbolic invariant manifold
359,1972,1995,0,Minitab
360,1972,1988,0,Siegel's paradox
361,1974,1982,0,Modified discrete cosine transform
362,1974,1975,0,Z notation
363,1976,2020,0,Volume of fluid method
364,1977,2031,0,Pocock boundary
365,1977,2006,0,Maximum subarray problem
366,1978,2024,0,Auxetics
367,1979,2100,0,Analytica (software)
368,1980,2100,0,Combinatorial biology
369,1980,1981,0,Solid modeling
370,1980,2005,0,Israel Halperin Prize
371,1980,2015,0,Singapore math
372,1980,2013,0,Negamax
373,1981,2100,0,Elka
374,1983,2020,0,Perlin noise
375,1983,2031,0,Sethi model
376,1984,1985,0,Santa Fe Institute
377,1985,1986,0,Piecewise linear continuation
378,1985,1988,0,Technology tree
379,1986,1987,0,Excitable medium
380,1987,2017,0,Interval edge coloring
381,1988,1995,0,Lu Chao
382,1989,1990,0,Mathland
383,1989,1990,0,Quasi-triangular quasi-Hopf algebra
384,1990,2100,0,Anylogic
385,1990,2009,0,Cone-shape distribution function
386,1990,2002,0,Possible Worlds (play)
387,1990,1991,0,Cryptonomicon
388,1993,1998,0,Gödel Prize
389,1995,1996,0,Foundations of Science
390,1998,2002,0,International Congress of Chinese Mathematicians
391,2000,2001,0,Wholeness axiom
392,2000,2031,0,Canopy clustering algorithm
393,2000,2031,0,Multiple-try Metropolis
394,2000,2100,0,Uncle Petros and Goldbach's Conjecture
395,2001,2020,0,Math in Moscow
396,2004,2020,0,Flat pseudospectral method
397,2004,2006,0,Garden of Archimedes
398,2004,2031,0,Pollyanna Creep
399,2004,2031,0,Trend analysis
400,2006,2009,0,Arcadia (play)
401,2007,2028,0,Quantitative models of the action potential
402,2008,2009,0,The Signal and the Noise
403,2008,2009,0,Cobordism hypothesis
404,2010,2100,0,Cyberchase
405,2011,2031,0,Seshat (project)
406,2012,2100,0,National Mathematics Day (India)
407,2013,2031,0,Outline of statistics
408,2017,2100,0,Augmented Reality Sandtable
409,2017,2100,0,Numberblocks
410,2019,2020,0,Separation logic
411,2020,2023,0,Slant height
412,2020,2100,0,Artinian
413,2020,2100,0,Baumslag–gersten group
414,2020,2100,0,Bombieri–vinogradov theorem
415,2020,2100,0,Al-salam–carlitz polynomials
416,2020,2031,0,Ceiling effect (statistics)
417,2020,2100,0,Chandrasekhar's H-function
418,2020,2026,0,Milne-thomson circle theorem
419,2020,2100,0,Closed form
420,2020,2026,0,Bishop–gromov inequality
421,2020,2026,0,Magic circle (mathematics)
422,2020,2100,0,Conjugation
423,2020,2100,0,Constructibility
424,2020,2100,0,Couple
425,2020,2100,0,Cube (film)
426,2020,2026,0,Cubic
427,2020,2022,0,Partial cyclic order
428,2020,2026,0,Dc bias
429,2020,2100,0,Digital sum
430,2020,2100,0,Stem fields
431,2020,2100,0,Dispersionless equation
432,2020,2025,0,Arthur–merlin protocol
433,2020,2100,0,Multiplier (linguistics)
434,2020,2100,0,Womersley number
435,2020,2100,0,Doob–dynkin lemma
436,2020,2100,0,Euclidean
437,2020,2100,0,Exclusive
438,2020,2024,0,Sørensen–dice coefficient
439,2020,2100,0,Fourier
440,2020,2026,0,Gauss–kuzmin–wirsing operator
441,2020,2026,0,Chebyshev–gauss quadrature
442,2020,2026,0,Gauss–hermite quadrature
443,2020,2100,0,Geh
444,2020,2024,0,Black triangle (badge)
445,2020,2100,0,Glimmer
446,2020,2025,0,Brewster's angle
447,2020,2025,0,Laplace–runge–lenz vector
448,2020,2026,0,Morse–smale system
449,2020,2025,0,Borel–moore homology
450,2020,2100,0,Return period
451,2020,2100,0,Ictcm Award
452,2020,2027,0,C-symmetry
453,2020,2027,0,List of mathematical topics in relativity
454,2020,2100,0,Kenken
455,2020,2100,0,Open assessment
456,2020,2026,0,Bentley–ottmann algorithm
457,2020,2024,0,Kodaira–spencer map
458,2020,2025,0,Liouville–bratu–gelfand equation
459,2020,2100,0,List of Iranian mathematicians
460,2020,2025,0,Shapley–folkman lemma
461,2020,2026,0,Exponential-golomb coding
462,2020,2026,0,Marshall–olkin exponential distribution
463,2020,2028,0,Wilf–zeilberger pair
464,2020,2029,0,Aubin–lions lemma
465,2020,2029,0,Bramble–hilbert lemma
466,2020,2029,0,Cotlar–stein lemma
467,2020,2029,0,Ellis–numakura lemma
468,2020,2029,0,Kalman–yakubovich–popov lemma
469,2020,2029,0,Littlewood–offord problem
470,2020,2029,0,Riemann–lebesgue lemma
471,2020,2029,0,Stewart–walker lemma
472,2020,2029,0,Teichmüller–tukey lemma
473,2020,2024,0,Natural logarithm plus 1
474,2020,2026,0,Almgren–pitts min-max theory
475,2020,2026,0,Brill–noether theory
476,2020,2026,0,Euclid–mullin sequence
477,2020,2026,0,Wedderburn–etherington number
478,2020,2026,0,Prouhet–thue–morse constant
479,2020,2026,0,Pisot–vijayaraghavan number
480,2020,2026,0,Baum–sweet sequence
481,2020,2022,0,Calkin–wilf tree
482,2020,2022,0,Seiffert's spiral
483,2020,2031,0,Abx test
484,2020,2031,0,Anchor test
485,2020,2031,0,Anova on ranks
486,2020,2031,0,Anova–simultaneous component analysis
487,2020,2031,0,Balding–nichols model
488,2020,2031,0,Bapat–beg theorem
489,2020,2031,0,Barber–johnson diagram
490,2020,2031,0,Bcmp network
491,2020,2031,0,Behrens–fisher distribution
492,2020,2031,0,Behrens–fisher problem
493,2020,2031,0,Berry–esseen theorem
494,2020,2031,0,Beverton–holt model
495,2020,2031,0,Birnbaum–saunders distribution
496,2020,2031,0,Box–cox distribution
497,2020,2031,0,Breusch–godfrey test
498,2020,2031,0,Breusch–pagan test
499,2020,2031,0,Bruck–ryser–chowla theorem
500,2020,2031,0,Calculus of predispositions
501,2020,2031,0,Cdf-based nonparametric confidence interval
502,2020,2031,0,Lyapunov's central limit theorem
503,2020,2031,0,Chapman–robbins bound
504,2020,2031,0,Clark–ocone theorem
505,2020,2031,0,Cognitive pretesting
506,2020,2031,0,Comparison of general and generalized linear models
507,2020,2031,0,Consensus-based assessment
508,2020,2031,0,Consumption distribution
509,2020,2031,0,Conway–maxwell–poisson distribution
510,2020,2031,0,Cornish–fisher expansion
511,2020,2031,0,Cuzick–edwards test
512,2020,2031,0,D/m/1 queue
513,2020,2031,0,D'agostino's K-squared test
514,2020,2031,0,Davies–bouldin index
515,2020,2031,0,Defries–fulker regression
516,2020,2031,0,Dffits
517,2020,2031,0,Distance sampling
518,2020,2031,0,Durbin–watson statistic
519,2020,2031,0,Dvoretzky–kiefer–wolfowitz inequality
520,2020,2031,0,Elston–stewart algorithm
521,2020,2031,0,Epps effect
522,2020,2031,0,False positive paradox
523,2020,2031,0,Fastica
524,2020,2031,0,Fishburn–shepp inequality
525,2020,2031,0,Flame clustering
526,2020,2031,0,Fleming–viot process
527,2020,2031,0,Freedman–diaconis rule
528,2020,2031,0,Frisch–waugh–lovell theorem
529,2020,2031,0,Galton–watson process
530,2020,2031,0,Gauss–kuzmin distribution
531,2020,2031,0,Goldfeld–quandt test
532,2020,2031,0,Gompertz–makeham law of mortality
533,2020,2031,0,Guttman scale
534,2020,2031,0,Hájek–le Cam convolution theorem
535,2020,2031,0,Hannan–quinn information criterion
536,2020,2031,0,Haybittle–peto boundary
537,2020,2031,0,Helmert–wolf blocking
538,2020,2031,0,Historiometry
539,2020,2031,0,Hodges–lehmann estimator
540,2020,2031,0,Holm–bonferroni method
541,2020,2031,0,Hosmer–lemeshow test
542,2020,2031,0,Idealised population
543,2020,2031,0,Interim analysis
544,2020,2031,0,Inverse Mills ratio
545,2020,2031,0,Inverse-wishart distribution
546,2020,2031,0,James–stein estimator
547,2020,2031,0,Jarque–bera test
548,2020,2031,0,Jensen–shannon divergence
549,2020,2031,0,Kpss test
550,2020,2031,0,Lander–green algorithm
551,2020,2031,0,Lehmann–scheffé theorem
552,2020,2031,0,Littlewood's law
553,2020,2031,0,Ljung–box test
554,2020,2027,0,Log-cauchy distribution
555,2020,2031,0,Log-laplace distribution
556,2020,2031,0,Logit analysis in marketing
557,2020,2031,0,Łukaszyk–karmowski metric
558,2020,2031,0,M/d/1 queue
559,2020,2031,0,Marchenko–pastur distribution
560,2020,2031,0,Marcinkiewicz–zygmund inequality
