i,birth,death,dim,cavity,death_nodes
0,-2000,2100,0,Atmospheric chemistry,
1,-2000,-1799,0,North Pole;Atmospheric chemistry,Celestial horizon
2,-2000,-1900,0,Thermodynamic temperature;Atmospheric chemistry,Heat
3,-1930,2003,0,Smithsonian Tropical Research Institute;Atmospheric chemistry,Climate Group
4,-1900,-1700,0,Meteorology;Squall line,Thunderstorm
5,-1900,2019,0,Meteorology;Tsunami,List of meteorological phenomena
6,-1900,122,0,Meteorology;Climate Prediction Center,National Weather Service
7,-1900,500,0,Meteorology;Space weather,Ionosphere
8,-1900,1914,0,Paleomagnetism;Heat,Earth's magnetic field
9,-1900,-1699,0,Heat;Magnetic polarity reversal,Convection
10,-1900,-1799,0,Meteorology;Temperature record of the past 1000 years,Dendroclimatology
11,-1800,-1599,0,Meteorology;Radiosonde,Temperature
12,-1800,-1599,0,Surface weather analysis;Meteorology,Temperature
13,-1800,232,0,Meteorology;Atlantic Oceanographic and Meteorological Laboratory,Galveston Hurricane of 1900
14,-1800,1709,0,Weather forecasting;Gas balloon,Balloon (aircraft)
15,-1800,-1799,0,Mercury (element);Sun,Celestial horizon
16,-1800,1990,0,Cloud;Chemical warfare,Chemtrail theory
17,-1800,1689,0,Climate;Environmental determinism,Charles de Secondat, Baron de Montesquieu
18,-1800,232,0,Meteorology;Galveston, Texas,Galveston Hurricane of 1900
19,-1800,-1699,0,Lightning rod;Atmospheric chemistry,Lightning
20,-1800,-364,0,List of Solar Cycles;Sun,Sunspot
21,-400,123,0,Cloud;Frostbite,Cold weather boot
22,101,122,0,Central Florida Tornado of February 2007;Cloud,National Weather Service
23,108,170,0,Illuminance;Sun,Sunlight
24,110,1989,0,Millimeter cloud radar;Meteorology,Atmospheric Radiation Measurement
25,113,500,0,Geomagnetic storm;Mesosphere,Ionosphere
26,149,1861,0,Clear-air turbulence;Sun,Troposphere
27,223,2015,0,National Weather Service;Climateprediction.net,Parametrization (climate)
28,459,460,0,Weather forecasting;Met Office,Surface weather observation
29,1480,2013,0,Hygrometer;Temperature,Dew point
30,1551,1873,0,Global warming;List of weather records,World Meteorological Organization
31,1701,1703,0,Meteorology;Contour line,Airshed
32,1846,2019,0,Meteorology;Hodograph,List of meteorological phenomena
33,1865,1951,0,Atmospheric convection;List of tornado-related deaths at schools,Tornado
34,1878,2015,0,Solar thermal energy;Temperature,Solar heating
35,1893,2019,0,Meteorology;1893 Sea Islands Hurricane,Storm surge
36,1910,2019,0,Meteorology;Aerobiology,List of meteorological phenomena
37,1913,1972,0,Temperature;United States temperature extremes,Chinook wind
38,1933,2019,0,Firestorm;Meteorology,List of meteorological phenomena
39,1935,2018,0,Tropical cyclone observation;Climate,Paleotempestology
40,1948,2008,0,Weather forecasting;Typical meteorological year,Weather
41,1949,2010,0,Ice;Frost law,Frost creep
42,1951,1979,0,Sudden stratospheric warming;Troposphere,Stratosphere
43,1975,2015,0,Max Planck Institute for Meteorology;Climatology,Climate modeller
44,1982,1983,0,Ice storm;Hail,Freezing rain
45,1985,2005,0,Storm track;Atlantic hurricane season,Storm
46,2000,2009,0,Weather forecasting;Gas flare,Sky
47,2020,2023,0,Meteorology;Evaporative cooling,Low pressure area
48,2020,2023,0,Hydrology;Eutrophication,Impluvium (hydrology)
49,2020,2100,0,Intentional radiator,
50,-1800,2100,1,Global warming;Climate,
51,-1800,2100,1,Climate;Infrared,
52,-1800,2019,1,Meteorology;Cloud;Climate;Cloud physics;Nephology,List of meteorological phenomena
53,-1799,2100,1,Orographic lift;Nephology,
54,-1799,2022,1,Meteorology;Cloud;Climate;Cumulus cloud;Nephology,Funnel cloud
55,-1799,2100,1,Sea level;Celestial horizon,
56,-1799,2100,1,Polar circle;Polar night,
57,-1798,2100,1,Nephology;Polar region,
58,-1797,2100,1,Polar region;Polar ice cap,
59,-1700,2100,1,Thunderstorm;Atmospheric electricity,
60,-1700,1861,1,Thunderstorm;Cloud;Cloud physics;Nephology,Troposphere
61,-1699,2019,1,Meteorology;Anabatic wind;Thunderstorm;Cloud;Heat;Climate;Cloud physics;Nephology;Thermodynamics,List of meteorological phenomena
62,-1699,2100,1,Anabatic wind;Cumulus cloud,
63,-1699,2100,1,Lightning;Squall line,
64,-1600,2100,1,Thermometer;Mercury (element),
65,-1600,-1599,1,Meteorology;Thermodynamic temperature;Celsius;Heat;Thermometer;Thermodynamics,Temperature
66,-1598,2100,1,Atmospheric convection;Cumulus humilis cloud,
67,-1598,275,1,Level of free convection;Meteorology;Convective available potential energy;Temperature,Convective inhibition
68,-1598,2019,1,Meteorology;Level of free convection;Thunderstorm;Cloud;Temperature,List of meteorological phenomena
69,-1598,2024,1,Atmospheric convection;Cumulus cloud;Thunderstorm;Level of free convection,Free convective layer
70,-1598,2019,1,Meteorology;Lightning;Thunderstorm;Cloud;Climate;Temperature;Cloud physics;Nephology;Thunder,List of meteorological phenomena
71,-1598,2019,1,Virtual temperature;Heat;Atmospheric thermodynamics;Temperature,List of meteorological phenomena
72,-300,2019,1,Hydrology;Meteorology;Water cycle;Temperature,List of meteorological phenomena
73,100,2019,1,Meteorology;Cloud;Climate;Temperature;Cloud physics;Nephology;Mesosphere,List of meteorological phenomena
74,100,2100,1,Thermodynamic temperature;Mercury-in-glass thermometer,
75,101,2100,1,Mercury (element);Standard conditions for temperature and pressure,
76,113,2100,1,Geostationary Operational Environmental Satellite;Magnetic storm,
77,122,2019,1,National Weather Service;Meteorology;Level of free convection;Thunderstorm;Cloud;Temperature;Nephology,List of meteorological phenomena
78,122,2100,1,National Weather Service;Geostationary Operational Environmental Satellite,
79,170,2100,1,Sunlight;Infrared,
80,170,2100,1,Sunlight;Radiative forcing,
81,171,2100,1,Heat;Solar thermal collector,
82,171,2100,1,Cloud;Noctilucent cloud,
83,171,2100,1,Radiant energy;Greenhouse gas,
84,171,2100,1,Solar thermal collector;Solar greenhouse (technical),
85,232,2100,1,National Weather Service;Galveston Hurricane of 1900,
86,250,2100,1,Ozone depletion;Polar vortex,
87,273,2008,1,Cloud;Climate;Nephology;Mesosphere;Water vapor;Water cycle,Weather
88,273,1861,1,Convection;Cloud;Nephology;Mesosphere;Water vapor,Troposphere
89,273,1980,1,Convection;Nephology;Global warming;Greenhouse gas;Water vapor,Radiation budget
90,274,2019,1,Meteorology;Heat;Temperature;Advection,List of meteorological phenomena
91,274,2019,1,Meteorology;Cloud;Climate;Nephology;Mesosphere;Water vapor;Water cycle;Advection,List of meteorological phenomena
92,274,2019,1,Meteorology;Equivalent temperature;Cloud;Climate;Temperature;Nephology;Mesosphere;Water vapor;Water cycle,List of meteorological phenomena
93,275,2019,1,Orographic lift;Meteorology;Cloud;Convective inhibition,List of meteorological phenomena
94,275,2100,1,Water cycle;Carbon cycle,
95,275,2022,1,Meteorology;Climate;Nephology;Snow;Ice,Precipitation
96,275,2019,1,Meteorology;Evaporation;Temperature;Hydrology;Wet-bulb temperature,List of meteorological phenomena
97,275,2100,1,Greenhouse gas;Carbon cycle,
98,275,2100,1,Polar region;Polar climate,
99,276,2100,1,Sea level;List of places on land with elevations below sea level,
100,300,2100,1,Cumulus cloud;Cloud suck,
101,400,2019,1,Climate;Climatology;Nephology;Water vapor;National Oceanic and Atmospheric Administration;Water cycle;Atlantic Oceanographic and Meteorological Laboratory,List of meteorological phenomena
102,400,2100,1,Ozone depletion;Ultraviolet,
103,400,2100,1,Ultraviolet;Magnetic storm,
104,401,2100,1,Atmospheric physics;Cloud physics,
105,500,2019,1,Meteorology;Cloud;Climate;Temperature;Sun;Nephology;Climatology;Mesosphere;D region;Water vapor;Water cycle;Sunlight;Noctilucent cloud,List of meteorological phenomena
106,500,2100,1,Lightning;D region,
107,500,2100,1,Ionosphere;Atmospheric electricity,
108,500,1980,1,Solar flare;Ionosphere;D region;Sun;Mesosphere,Exosphere
109,500,2100,1,Ionosphere;Magnetic polarity reversal,
110,500,1914,1,Magnetic storm;Ultraviolet;D region;Sun,Earth's magnetic field
