i,birth,death,dim,cavity,death_nodes
0,-1900,2100,0,Cell nucleus,
1,-1900,-1800,0,Diabetes mellitus;Gene,Cystic fibrosis
2,-1900,1966,0,Translation;Cell nucleus,Shine-dalgarno sequence
3,-1900,-1799,0,Down syndrome;Diabetes mellitus,Syndrome
4,-1900,-1700,0,Prostate cancer;Gene,Cancer
5,-1900,-1800,0,Cell nucleus;Double helix,Histone
6,-1900,1869,0,Cell nucleus;Nucleic acid double helix,Dna
7,-1900,1845,0,Cell nucleus;Monoclonal antibody,Antibody
8,-1800,1833,0,Cell nucleus;Pyrimidine,Enzyme
9,100,501,0,Adenosine deaminase deficiency;Cancer,Severe combined immunodeficiency
10,100,1952,0,Yeast artificial chromosome;Cell (biology),Multicopy plasmid
11,165,205,0,Gene therapy;Cancer,Bone marrow transplantation
12,180,1838,0,Avidin;Cell (biology),Protein
13,300,352,0,Ataxia-telangiectasia;Heredity,Leukemia
14,500,501,0,Adenosine deaminase deficiency;Primary immunodeficiency,Severe combined immunodeficiency
15,700,1869,0,Insertion sequence;Cell (biology),Dna
16,1590,1880,0,Pronucleus;Cell (biology),Chromosome
17,1943,1947,0,Fragile X syndrome;Sickle-cell disease,Genetic counseling
18,1969,1991,0,Dna;Alagille syndrome,Autosomal dominant
19,2020,2100,0,Gre,
20,-1800,2100,1,Animal model;Bacteriophage,
21,-1800,2100,1,Animal model;Parkinson's disease,
22,-1800,2100,1,Bacteriophage;Antibiotic resistance,
23,-1800,2100,1,Heredity;Antibiotic resistance,
24,-1800,2100,1,Heredity;Selection (biology),
25,-1700,1880,1,Animal model;Mutation;Gene;Cancer;Antibiotic resistance;Bacteriophage,Chromosome
26,100,1928,1,Cell nucleus;Mutation;Gene;Selection (biology);Heredity;Cell (biology),Competence (biology)
27,142,1869,1,Cell nucleus;Mutation;Gene;Bacteria;Antibiotic resistance;Bacteriophage,Dna
28,142,2100,1,Bacteria;Phage,
29,200,2100,1,Phage;Site-specific recombination,
30,220,1869,1,Somatic cells;Cell nucleus;Mutation;Gene,Dna
31,352,751,1,Down syndrome;Leukemia;Heredity;Syndrome,Congenital
32,352,2100,1,Leukemia;Bone marrow transplantation,
33,751,2100,1,Heredity;Congenital,
34,751,2100,1,Bacteria;Congenital,
35,1691,2100,1,Down syndrome;Hirschsprung's disease,
36,1833,1838,1,Enzyme;Cell nucleus;Mutation;Gene;Antibiotic resistance;Cell (biology),Protein
37,1833,1869,1,Enzyme;Cell nucleus;Bacteria;Phage;Cell (biology),Dna
38,1833,1869,1,Double helix;Enzyme;Cell nucleus;Histone;Cell (biology),Dna
39,1833,1869,1,Enzyme;Cell nucleus;Human immunodeficiency virus;Cell (biology),Dna
40,1834,1959,1,Enzyme;Cell nucleus;Sigma factor;Gene;Cell (biology),Transcription (genetics)
41,1834,1959,1,Cell nucleus;Sigma factor;Gene;Bacteria;Cell (biology),Transcription (genetics)
42,1838,2100,1,Protein;Electrophoresis,
43,1838,1869,1,Gene therapy;Protein;Cell nucleus;Bone marrow transplantation;Gene;Cancer,Dna
44,1839,1869,1,Protein;Histone;Double helix;Binding site,Dna
45,1840,2100,1,Enzyme;Chloramphenicol acetyltransferase,
46,1840,2100,1,Bacteria;Chloramphenicol acetyltransferase,
47,1844,1978,1,Purine;Protein;Enzyme;Huntington's disease;Gene;Guanine,Tata box
48,1845,2100,1,Antibody;Ataxia-telangiectasia,
49,1846,2100,1,Gene therapy;Sickle-cell disease,
50,1846,2100,1,Cystic fibrosis;Sickle-cell disease,
51,1846,2100,1,Heredity;Sickle-cell disease,
52,1847,2100,1,Bacteria;Immunotherapy,
53,1847,2100,1,Lymphocyte;Immunotherapy,
54,1847,2100,1,Immunotherapy;Monoclonal antibody,
55,1868,1869,1,Enzyme;Base-pair substitution;Purine;Protein,Dna
56,1868,2100,1,Neurofibromatosis;Base-pair substitution,
57,1869,1911,1,Protein;Mutation;Dna;Selection (biology);Heredity,Phenotype
58,1869,1966,1,Missense mutation;Base-pair substitution;Dna;Point mutation,Nonsense mutation
59,1870,2100,1,Homology (biology);Gene conversion,
60,1870,1885,1,Antibody;Dna;Protein;Glycosylation,E. coli
61,1870,2100,1,Cloning;Monoclonal antibody,
62,1880,1952,1,Chromosome;Dna;Protein;Antibiotic resistance,Multicopy plasmid
63,1880,2100,1,Chromosome;Metaphase,
64,1880,1911,1,Dna;Chromosome;Selection (biology);Cancer;Heredity,Phenotype
65,1881,1905,1,Dna;Gene;Chromosome;Cancer;Allele,Lod score
66,1881,2004,1,Bone marrow transplantation;Mutation;Dna;Gene;Sickle-cell disease;Allele,Sequence polymorphism
67,1881,1962,1,Genetic marker;Chromosome;Dna;Gene,Locus (genetics)
68,1885,2100,1,Uracil;Birth defect,
69,1899,2100,1,Enzyme;S1 nuclease,
70,1903,2100,1,Adenosine deaminase deficiency;Genotype,
71,1904,1911,1,Genotype;Polymorphism (biology);Mutation;Dna,Phenotype
72,1905,2100,1,Mendelian inheritance;Lod score,
73,1905,2020,1,Sex chromosome;Dna;Gene;Chromosome;Selection (biology);Karyotype;Allele,Diploid
74,1905,2100,1,Structural motif;Lod score,
75,1912,2100,1,Autosome;Adenosine deaminase deficiency,
76,1912,2100,1,Autosome;Congenital,
77,1912,2100,1,Adenosine deaminase deficiency;Dominance (genetics),
78,1930,2100,1,Molecular biology;Monoclonal antibody,
79,1930,2100,1,Syndrome;Ellis-van Creveld syndrome,
80,1931,1952,1,Molecular biology;Reporter gene;Dna;Gene,Multicopy plasmid
81,1931,1952,1,Molecular biology;Reporter gene;Bacteria;Cell (biology),Multicopy plasmid
82,1938,2100,1,Dna;Chromosomal translocation,
83,1938,2100,1,Karyotype;Chromosomal translocation,
84,1949,2100,1,Homology (biology);Conservation (genetics),
85,1949,2100,1,Homology (biology);Highly conserved sequence,
86,1949,2100,1,Conservation (genetics);Gene knockout,
87,1949,2100,1,Gene knockout;Highly conserved sequence,
88,1951,2000,1,Restriction fragment length polymorphism;Dna;Protein;Homology (biology),Molecular weight size marker
89,1951,2000,1,Polymorphism (biology);Mutation;Dna;Restriction fragment length polymorphism,Molecular weight size marker
90,1952,2100,1,Phenotype;Replica plating,
91,1953,2100,1,Adenovirus;Cystic fibrosis,
92,1960,1962,1,Trna;Protein;Dna;Adenine;Molecular biology,Base pair
93,1960,2100,1,Primer extension;Transcription start site,
94,1961,2100,1,Cystic fibrosis;Deoxyribonuclease (DNase),
95,1962,1978,1,Genome;Origin of replication;Dna;Dna polymerase;Molecular biology,Dna replication
96,1962,2100,1,Hematopoietic stem cell;Fibroblasts,
97,1962,2100,1,Non-coding DNA;Origin of replication,
98,1963,2100,1,Genetic linkage;Gene mapping,
99,1963,2100,1,Congenital;Gene mapping,
100,1963,2100,1,Origin of replication;Phagemid,
101,1964,2002,1,Cell nucleus;Nucleotide;Dna;Snrna,Ribonucleic acid
102,1965,1978,1,Molecular biology;Nucleotide;Consensus sequence;Dna,Tata box
103,1965,2009,1,Direct repeat;Complementarity (molecular biology);Genome;Nucleotide;Base pair,Inverted repeat
104,1965,2100,1,Sequence motif;Restriction endonuclease,
105,1965,2100,1,Sequence motif;Structural motif,
106,1966,2100,1,Adenine;Kozak sequence,
107,1966,2100,1,Adenovirus;Codon usage bias,
108,1966,2100,1,Start codon;Open reading frame,
109,1966,2100,1,Bacteria;Shine-dalgarno sequence,
110,1966,2100,1,Mutation;Shine-dalgarno sequence,
111,1966,2100,1,Consensus sequence;Kozak sequence,
112,1966,2100,1,Upstream and downstream (DNA);Shine-dalgarno sequence,
113,1970,2100,1,Gene;Tumor suppressor,
114,1973,2100,1,Trna;Endonuclease,
115,1974,2100,1,Cystic fibrosis;Dnase,
116,1975,2100,1,Polyclonal antibodies;Hybridoma,
117,1977,2100,1,Dna;Genomic library,
118,1977,2100,1,Denaturation (biochemistry);Hybridization probe,
119,1977,2100,1,Autoradiography;Hybridization probe,
120,1977,2100,1,Dna polymerase;Dideoxyribonucleotide,
121,1977,1981,1,Molecular biology;Hybridization probe;Antibody;Protein,Blotting
122,1977,2100,1,Primer extension;Hybridization probe,
123,1977,2100,1,Phosphodiester bond;Dideoxyribonucleotide,
124,1978,2100,1,Acrylamide gels;Autoradiography,
125,1978,2100,1,Autoradiography;In situ hybridization,
126,1978,2100,1,In situ hybridization;Gene mapping,
127,1978,2100,1,In situ hybridization;Transcription start site,
128,1978,2100,1,In situ hybridization;Riboprobe,
129,1979,2100,1,Autoradiography;Polyacrylamide gel,
130,1979,2100,1,Karyotype;Centromere,
131,1979,1980,1,Yeast artificial chromosome;Multicopy plasmid;Human Genome Project;Dna,Bacterial artificial chromosome
132,1980,2100,1,Adenovirus;Shuttle vector,
133,1980,2100,1,Plasmid;Shuttle vector,
134,1980,2100,1,Centromere;Shuttle vector,
135,1980,2100,1,Gene mapping;Contig,
136,1980,2100,1,Consensus sequence;Contig,
137,1980,2100,1,Origin of replication;Shuttle vector,
138,1981,2100,1,In situ hybridization;Physical map (genetics),
139,1981,2100,1,Genetic linkage;Physical map (genetics),
140,1981,2100,1,Contig;Physical map (genetics),
141,1982,2000,1,Cell nucleus;Ribozyme;Transcription (genetics);Snrna,Rna splicing
142,1982,2100,1,Ribozyme;Selection (biology),
143,1983,2100,1,Severe combined immunodeficiency;Transposon,
144,1983,2100,1,Severe combined immunodeficiency;Transposition (genetics),
145,1983,2100,1,Gene therapy;Transposition (genetics),
146,1983,2100,1,Gene duplication;Transposition (genetics),
147,1983,2100,1,Transposon;Consensus sequence,
148,1983,2100,1,Transposon;Gene conversion,
149,1983,2100,1,Consensus sequence;Transposition (genetics),
150,1983,2100,1,Gene conversion;Transposition (genetics),
151,1984,2100,1,Mendelian inheritance;Simple Sequence Repeats,
152,1984,2100,1,Sequence motif;Microsatellite (genetics),
153,1984,2100,1,Sequence motif;Simple Sequence Repeats,
154,1984,2100,1,Genetic linkage;Microsatellite (genetics),
155,1984,2100,1,Genetic linkage;Simple Sequence Repeats,
156,1984,2100,1,Microsatellite (genetics);Fragile X syndrome,
157,1984,2100,1,Fragile X syndrome;Simple Sequence Repeats,
158,1990,2100,1,Adenovirus;Apoptosis,
159,1990,2100,1,Apoptosis;Chaperone protein,
160,1990,2020,1,Apoptosis;Transcription (genetics);Northern blot;Transcription start site,Mrna
161,1990,2100,1,Homology (biology);Rnai,
162,1990,2100,1,Parkinson's disease;Rnai,
163,1990,2100,1,Rnai;Phosphorylation,
