i,birth,death,dim,nodes
0,-1800,2100,0,Pythagorean triple
1,-1650,-600,0,Pi
2,-1550,400,0,Prime number
3,-400,629,0,Pell's equation
4,100,400,0,Bernoulli number
5,105,400,0,Euclidean algorithm
6,1240,1928,0,Middle-square method
7,1500,2020,0,Topics in cryptography
8,1600,1896,0,Ford circle
9,1748,1896,0,Generalized continued fraction
10,1802,1938,0,Farey sequence
11,1925,2009,0,Cunningham project
12,1927,1928,0,Pseudorandomness
13,1940,2010,0,Elliptic divisibility sequence
14,1981,2009,0,Quadratic sieve
15,403,2100,1,Möbius inversion formula;Lambert series
16,629,2100,1,Diophantine equation;Algebraic number theory
17,629,2100,1,Diophantine equation;Linear congruence theorem
18,629,2100,1,Diophantine equation;Quadratic form
19,629,2100,1,Diophantine equation;Pythagorean triple
20,630,2100,1,Diophantine equation;Effective results in number theory
21,900,1981,1,Fraction (mathematics);Irrational number
22,901,2100,1,Least common multiple;Fraction (mathematics)
23,1343,2100,1,Diophantine equation;Catalan's conjecture
24,1668,2100,1,Basel problem;List of topics related to pi
25,1700,2100,1,Pi;Prime-counting function
26,1702,2100,1,Salem number;Mahler measure
27,1736,1982,1,Fermat's little theorem;Euler's theorem
28,1801,2100,1,Modular arithmetic;Euclidean algorithm
29,1801,1803,1,Modular arithmetic;Disquisitiones Arithmeticae
30,1801,1980,1,Modular arithmetic;Fermat's little theorem
31,1801,2100,1,Modular arithmetic;Wilson's theorem
32,1801,1980,1,Modular arithmetic;Dirichlet's theorem on arithmetic progressions
33,1801,2100,1,Computational number theory;Quadratic residuosity problem
34,1802,2100,1,Composite number;Probable prime
35,1802,2100,1,Composite number;Carmichael number
36,1802,2100,1,Modular arithmetic;Multiplicative order
37,1802,2100,1,Modular arithmetic;Partition function (number theory)
38,1802,2100,1,Modular arithmetic;Probable prime
39,1802,1989,1,Modular arithmetic;Carmichael number
40,1802,2100,1,Bell numbers;Probable prime
41,1803,2100,1,Extended Euclidean algorithm;Bézout's lemma
42,1803,2100,1,Modular exponentiation;Discrete logarithm
43,1844,2100,1,Transcendental number;Liouville number
44,1850,2100,1,Cousin prime;Sexy prime
45,1889,2100,1,Proofs of Fermat's theorem on sums of two squares;Minkowski's theorem
46,1895,2100,1,Rational number;Factorization
47,1896,2100,1,Rational number;Hasse principle
48,1896,2100,1,Lagrange's four-square theorem;Square number
49,1896,2100,1,Basel problem;Square number
50,1896,2100,1,Square number;Proofs of Fermat's theorem on sums of two squares
51,1897,2100,1,Basel problem;Small set (combinatorics)
52,1897,2100,1,Square-free integer;Square number
53,1898,2100,1,Fundamental theorem of arithmetic;Quadratic irrational
