i,birth,death,dim,nodes
0,-6000,2100,0,Mirror
1,-3000,-700,0,Physics
2,-300,360,0,Camera obscura
3,100,1800,0,Avalanche photodiode
4,100,1840,0,Optical fiber connector
5,132,360,0,Cassegrain reflector
6,150,1995,0,Zodiacal light
7,172,400,0,Excimer laser
8,200,1307,0,Alexander's band
9,200,1669,0,Liquid-crystal display
10,200,421,0,Optical disc
11,300,380,0,Optical window
12,633,1859,0,Helium–neon laser
13,1550,1840,0,Raman amplifier
14,1550,1840,0,Raman amplification
15,1808,1828,0,Polarimeter
16,1834,1992,0,Zoom lens
17,1844,1901,0,Haidinger's brush
18,1848,2020,0,Lensmeter
19,1868,1915,0,Airglow
20,1868,1920,0,Stereoscopy
21,1890,1992,0,Zeiss Tessar
22,1936,1948,0,Pattern recognition
23,-399,2100,1,Microscope;Abbe sine condition
24,100,1964,1,Telescope;Mirror
25,361,400,1,Wavelength;X-ray
26,361,400,1,Wavelength;Mirror
27,361,1840,1,Phase (waves);Optical path length
28,362,1993,1,Optics;Piston (optics)
29,362,2100,1,Optical depth;Optical path length
30,380,400,1,Optics;Optical spectrum
31,421,2100,1,Color science;Iridescence
32,500,1886,1,Thin-film optics;Color science
33,501,1964,1,Lens (optics);Optical coating
34,600,2100,1,Spectroscopy;Emission spectrum
35,637,1980,1,Halo (optical phenomenon);Mirror
36,650,1914,1,Microscope;Newton's rings
37,650,1914,1,History of lensmaking;Newton's rings
38,694,2100,1,Laser;Excimer laser
39,694,2100,1,Laser;Optical disc
40,700,1886,1,Infrared;Telescope
41,700,2100,1,Pinhole camera;History of lensmaking
42,701,1958,1,Laser;Chemical laser
43,701,2100,1,Laser;Integrated optics
44,701,2100,1,Integrated optics;Nanophotonics
45,792,1807,1,Phase (waves);Fresnel reflection
46,792,1902,1,Iridescence;Fresnel reflection
47,984,1915,1,Snell's law;History of lensmaking
48,985,2100,1,Snell's law;Numerical aperture
49,1000,2100,1,Reflecting telescope;Cassegrain reflector
50,1001,2100,1,Reflecting telescope;Diffraction spike
51,1307,1914,1,Rainbow;Color science
52,1307,1841,1,Rainbow;History of lensmaking
53,1600,1800,1,Luminiferous aether;History of lensmaking
54,1662,1807,1,Speed of light;Principle of least time
55,1662,1854,1,Optics;Fermat's principle
56,1662,1807,1,Optics;Principle of least time
57,1662,1992,1,Fermat's principle;Snell's law
58,1662,1807,1,Snell's law;Principle of least time
59,1669,1807,1,Birefringence;Fresnel reflection
60,1669,1914,1,Double refraction;Fresnel equations
61,1673,2100,1,Diffraction grating;Optical disc
62,1730,1914,1,Halo (optical phenomenon);Sprite (optical phenomenon)
63,1800,1914,1,Ultraviolet;Circular dichroism
64,1800,1914,1,Circular dichroism;Double refraction
65,1801,1902,1,Double-slit experiment;Huygens' principle
66,1801,1900,1,Photoelectric effect;Slit experiment
67,1840,1994,1,Lens (optics);Fiber optics
68,1840,2100,1,Numerical aperture;Fiber optics
69,1840,2100,1,Optical fiber;Double refraction
70,1840,2100,1,Optical fiber;Total internal reflection
71,1840,2100,1,Fiber optics;Optical fiber connector
72,1841,1854,1,Dispersion (optics);Optical fiber
73,1854,2100,1,Mirage;Gradient index optics
74,1858,2100,1,Black-body radiation;Chromaticity
75,1859,2100,1,Black-body radiation;Brightness temperature
76,1861,2100,1,Liquid-crystal display;Rgb color model
77,1880,1958,1,Optical communication;Free-space optical communication
78,1883,2100,1,Afterglow;Rayleigh scattering
79,1887,2100,1,Photonic crystal;Fiber optics
80,1893,1992,1,Optical fiber;Waveguide
81,1893,2100,1,Birefringence;Pockels effect
82,1893,1915,1,Waveguide;Fiber optics
83,1899,1914,1,Fresnel equations;Etalon
84,1900,1903,1,Photon;Optical communication
85,1900,1966,1,Photon;Raman amplifier
86,1900,1966,1,Photon;Raman amplification
87,1901,1914,1,Polarization (waves);Rayleigh scattering
88,1901,2100,1,Polarization (waves);Stokes parameters
89,1901,2100,1,Telescope;Optical instrument
90,1901,2100,1,Optical instrument;Optical window
91,1901,2100,1,Total internal reflection;Microphotonics
92,1901,2100,1,Photonic crystal;Microphotonics
93,1902,2100,1,Diffraction grating;Depolarizer (optics)
94,1903,2100,1,Telescope;Optical amplifier
95,1903,2100,1,Fluorescence;Scintillator
96,1903,2100,1,Interference (wave propagation);Interferometry
97,1903,2100,1,Interference (wave propagation);Speckle pattern
98,1903,1980,1,Snell's law;Ray tracing (physics)
99,1903,2100,1,Refractive index;Interferometry
100,1903,2100,1,Coherence (physics);Stokes parameters
101,1903,2100,1,Optical communication;Physical optics
102,1903,2100,1,Fiber optics;Scintillator
103,1904,2100,1,Optical depth;Optical distance
104,1904,2100,1,Interferometry;Optical coherence tomography
105,1904,2100,1,Coherence (physics);Optical coherence tomography
106,1907,2100,1,Light-emitting diode;Rgb color model
107,1914,2100,1,Light;Reflecting telescope
108,1915,2100,1,Photodiode;Avalanche photodiode
109,1915,2100,1,Radiometry;Photometry (optics)
110,1915,2100,1,Interference (wave propagation);Beam splitter
111,1915,2100,1,Afterglow;Scattering
112,1915,2100,1,Scattering;Fiber optics
113,1915,2100,1,Optical instrument;Beam splitter
114,1916,2100,1,Focal length;Cassegrain reflector
115,1916,2100,1,Focal length;Fresnel lens
116,1916,2100,1,Rayleigh scattering;Mie scattering
