i,birth,death,dim,cavity,death_nodes
0,-400,2100,0,Philosophy of language,
1,-343,-342,0,Philosophy of language;Aristotle,Meaning (philosophy of language)
2,-300,-298,0,Syntax;Philosophy of language,Andrea Bonomi (philosopher)
3,500,2100,0,European Summer School in Logic, Language and Information,
4,1200,1848,0,Philosophy of language;Failure to refer,Gottlob Frege
5,1632,1634,0,Philosophy of language;Semiotics,Sign (semiotics)
6,1700,1889,0,Philosophy of language;Family resemblance,Ludwig Wittgenstein
7,1797,2018,0,Philosophy of language;César Chesneau Dumarsais,List of philosophers of language
8,1846,1900,0,Philosophy of language;F. H. Bradley,Logical atomism
9,1882,1902,0,Gottlob Frege;Otto Neurath,Vienna Circle
10,1885,1891,0,Gottlob Frege;Susan Stebbing,Rudolf Carnap
11,1886,2100,0,Franz Rosenzweig,
12,1900,1951,0,Bertrand Russell;Linguistic relativity,Noam Chomsky
13,1903,1910,0,Philosophy of language;George Orwell,Alfred Jules Ayer
14,1907,2018,0,Gottlob Frege;Archie J. Bahm,List of philosophers of language
15,1926,2018,0,Gottlob Frege;Ingeborg Bachmann,List of philosophers of language
16,1942,2018,0,Gottlob Frege;Þorsteinn Gylfason,List of philosophers of language
17,1959,2018,0,Gottlob Frege;S. Morris Engel,List of philosophers of language
18,1974,1991,0,European Summer School in Logic, Language and Information;Journal of Logic, Language and Information,Association for Logic, Language and Information
19,1993,2018,0,Gottlob Frege;Cheung Kam Ching,List of philosophers of language
20,2009,2018,0,Gottlob Frege;William C. Dowling,List of philosophers of language
21,2009,2100,0,Theoretical definition,
22,2010,2011,0,Sebastian Shaumyan;Metalanguage,Applicative Universal Grammar
23,2011,2100,0,Unilalianism,
24,1100,2100,1,Peter Abelard;Aristotle,
25,1632,2100,1,Syntax;Semeiotic,
26,1632,2100,1,Aristotle;Semeiotic,
27,1634,2100,1,Sign (semiotics);Sphota,
28,1635,2100,1,Intension;Sign (semiotics),
29,1635,2100,1,Cognitive synonymy;Denotation,
30,1900,2100,1,Private language argument;Semeiotic,
31,1900,2100,1,Friedrich Waismann;Ordinary language philosophy,
32,1901,2100,1,Logical atomism;Colloquial language,
33,1901,2100,1,Semiotics;Language-game,
34,1906,1960,1,Nelson Goodman;Gottlob Frege;Philosophy of language;Rudolf Carnap,Donald Davidson (philosopher)
35,1906,2018,1,Stanley Cavell;Rudolf Carnap;Gottlob Frege;Nelson Goodman;Ludwig Wittgenstein,List of philosophers of language
36,1907,2100,1,Ordinary language philosophy;Stipulative definition,
37,1909,2100,1,Max Black;Susan Stebbing,
38,1913,2100,1,Paul Grice;Aristotle,
39,1914,2100,1,Syntax;Logical form,
40,1919,2100,1,Direction of fit;G. E. M. Anscombe,
41,1920,2100,1,Logical positivism;Direct reference theory,
42,1940,2100,1,Structuralism;Jacques Bouveresse,
43,1942,2018,1,Gottlob Frege;Paul Grice;John McDowell;Bertrand Russell;P. F. Strawson;Aristotle,List of philosophers of language
44,1946,2100,1,Aristotle;Kit Fine,
