i,birth,death,dim,cavity,death_nodes
0,-500,2100,0,Determinism,
1,-500,1700,0,Particle physics;Determinism,Quantum field theory
2,-500,1862,0,Determinism;Ionian Enlightenment,Causality
3,-400,2100,0,Eugenics,
4,-300,1543,0,Philosophy of mathematics;Determinism,Scientific revolution
5,-300,1543,0,Inductive reasoning;Determinism,Scientific revolution
6,-250,1600,0,Determinism;Time,Natural philosophy
7,100,2020,0,Constantin Noica;Determinism,Epistemology
8,113,1600,0,Determinism;Abductive reasoning,Physical law
9,240,1543,0,Avicenna;Determinism,Scientific revolution
10,250,1686,0,Determinism;Conservation biology,Species
11,400,401,0,Determinism;Science,Paradigm
12,1100,1500,0,Avicenna;Empiricism,René Descartes
13,1253,1267,0,Empiricism;Robert Grosseteste,Roger Bacon
14,1500,1600,0,Natural law;Science,Physical law
15,1530,1670,0,Horror vacui (physics);Science,Atomism
16,1600,1638,0,Evolution;Science,Claus Emmeche
17,1600,1957,0,Abductive reasoning;Ethics of technology,Ethics of artificial intelligence
18,1773,1900,0,Philosophy of science;Jakob Friedrich Fries,Karl Popper
19,1800,1801,0,Positivism;Behaviorism,Introspection
20,1800,1930,0,Connectionism;Science,Cognitive science
21,1800,1811,0,Philosophy of technology;Antiscience,Neo-luddism
22,1800,1811,0,Antiscience;Luddite,Neo-luddism
23,1800,1891,0,Philosophy of science;Phenomenalism,Rudolf Carnap
24,1850,1854,0,Philosophy of science;Irreversibility,Henri Poincaré
25,1862,1902,0,David Hilbert;Philosophy of science,Vienna Circle
26,1865,2100,0,Victoria Institute,
27,1879,1900,0,Philosophy of science;Hans Hahn (mathematician),Karl Popper
28,1880,1902,0,Philosophy of science;Victor Kraft,Vienna Circle
29,1885,1900,0,Niels Bohr;Philosophy of science,Conjectures and Refutations
30,1889,1912,0,History of the Church–Turing thesis;Bertrand Russell,Alan Turing
31,1894,1900,0,Philosophy of science;Joseph Henry Woodger,Karl Popper
32,1900,2014,0,Philosophy of science;R. B. Braithwaite,Imre Lakatos
33,1900,2100,0,Computer ethics,
34,1950,1980,0,Computer ethics;Philosophy of information,Information ethics
35,1959,2015,0,Philosophy of science;Steve Fuller (sociologist),Thomas Samuel Kuhn
36,1960,2011,0,Logical positivism;Marx W. Wartofsky,Is logic empirical?
37,1973,1974,0,Philosophy of technology;Neuroethics,Technocriticism
38,1989,1990,0,Technological determinism;Daniel Chandler,Technological Somnambulism
39,1991,2100,0,International Network of Engineers and Scientists for Global Responsibility,
40,1995,1996,0,Philosophy of science;Fritjof Capra,Jordi Pigem
41,1995,2017,0,Conjecture;Science,Theory
42,1600,2100,1,Physical law;Experiment,
43,1600,1900,1,Natural philosophy;Francis Bacon;Time;Physical law;Space,Universe
44,1600,2100,1,Scientific revolution;Relationship between religion and science,
45,1620,2018,1,Inductivism;Empiricism;Francis Bacon;Science;Paradigm;Physical law;Experiment,Empirical method
46,1620,2100,1,Abductive reasoning;Inductivism,
47,1620,2100,1,Inductivism;Scientific law,
48,1637,2100,1,Philosophy of science;Willard Van Orman Quine,
49,1637,2100,1,Philosophy of science;Philosophy of space and time,
50,1638,2100,1,Philosophy of mathematics;Jerzy Giedymin,
51,1638,2100,1,Hossein Nasr;Avicenna,
52,1670,2100,1,Atomism;Pierre Gassendi,
53,1670,2100,1,Atomism;Scientific revolution,
54,1671,2100,1,Epicurus;Determinism,
55,1700,2100,1,Problem of induction;Inductive reasoning,
56,1794,2100,1,Scientific revolution;William Whewell,
57,1794,2100,1,William Whewell;Principle of uniformity,
58,1800,2100,1,Emergence;Anti-supernaturalism,
59,1800,2100,1,Spacetime;Physical law,
60,1800,2100,1,Anti-supernaturalism;Uniformitarianism,
61,1800,2100,1,Anti-supernaturalism;Evolution,
62,1800,2100,1,Anti-supernaturalism;Philosophy of mathematics,
63,1801,2100,1,Introspection;Perception,
64,1804,2100,1,Quantum mechanics;Barry Loewer,
65,1820,2100,1,Evolution;Herbert Spencer,
