i,birth,death,dim,nodes
0,-2400,2100,0,Homosexuality
1,-2200,100,0,Program evaluation
2,-2000,-300,0,Dream
3,-1550,1999,0,Enuresis
4,-700,-300,0,Psychopathy
5,-550,216,0,Dementia
6,-500,-300,0,Music psychology
7,-400,293,0,Twin study
8,-400,300,0,Histrionic personality disorder
9,-400,-300,0,Philosophy of mind
10,-400,1950,0,Rhetoric
11,-387,130,0,Cognitive psychology
12,-307,216,0,Hedonism
13,-300,216,0,Circadian rhythm
14,-300,1800,0,Premature ejaculation
15,-300,1801,0,Phonology
16,100,211,0,Psychiatric hospital
17,100,1930,0,Foundations of Cyclopean Perception
18,122,216,0,Substance abuse
19,150,1800,0,Neuro-linguistic programming
20,200,1300,0,Neurosyphilis
21,250,1800,0,Aphasia
22,250,1798,0,Nonverbal communication
23,300,1800,0,Intimate relationship
24,300,549,0,Sodomy
25,800,801,0,Comparative psychology
26,900,1651,0,Incest
27,900,1800,0,Melancholia
28,1000,1886,0,Catharsis
29,1160,2025,0,Autodidacticism
30,1200,2009,0,Mnemonic
31,1300,1920,0,Rage (emotion)
32,1300,2100,0,Paraskevidekatriaphobia
33,1400,1700,0,Tourette syndrome
34,1469,1752,0,Machiavellianism
35,1515,2017,0,Prudence
36,1557,1798,0,Properception
37,1600,1960,0,Feral child
38,1614,1615,0,Metabolism
39,1623,2020,0,Erotomania
40,1690,1935,0,Synesthesia
41,1700,2006,0,Behavioral neuroscience
42,1700,1862,0,Sympathetic nervous system
43,1700,1800,0,Occupational therapy
44,1700,1900,0,Mesmerism
45,1700,1901,0,Taphophobia
46,1710,1800,0,Egocentric predicament
47,1760,1935,0,Perspective (cognitive)
48,1797,1898,0,Formication
49,1798,2018,0,Color psychology
50,1800,1900,0,Token economy
51,1800,2020,0,Dipsomania
52,1800,1882,0,Parapsychology
53,1800,1885,0,Maternal deprivation
54,1800,1932,0,Ideomotor effect
55,1800,1892,0,Decay theory
56,1800,1893,0,Intergender
57,1800,1961,0,Psychology of religion
58,1818,1909,0,Solitary confinement
59,1860,2019,0,Ergophobia
60,1864,1945,0,Da Costa's syndrome
61,1865,1875,0,Biofeedback
62,1879,1908,0,Germaphobia
63,1888,1930,0,Multisensory integration
64,1888,1900,0,Theophylline
65,1892,1931,0,Altered state of consciousness
66,1892,1900,0,Senile plaques
67,1892,1985,0,Pick's disease
68,1893,1940,0,Anomie
69,1897,1943,0,Audience effect
70,1898,1938,0,Psychology of learning
71,1900,2100,0,Early childhood education
72,1900,1934,0,Dependency need
73,1900,1911,0,Quantitative trait locus
74,1900,1983,0,Kohlberg's stages of moral development
75,1900,2025,0,Knowledge management
76,1913,1992,0,Health and Human Services
77,1920,2020,0,People skills
78,1924,2007,0,Hawthorne effect
79,1930,1965,0,Chaining
80,1930,1950,0,Organizational communication
81,1930,1970,0,Proactivity
82,1933,1950,0,Stockholm syndrome
83,1938,2020,0,Transfer (propaganda)
84,1939,2020,0,Sensory preconditioning
