i,birth,death,dim,cavity,death_nodes
0,-4000,2100,0,Technology,
1,-3000,1990,0,Technology;Futurama,Aibo
2,-2900,1849,0,Bolo (tank);Technology,Unmanned aerial vehicle
3,-2400,1958,0,Twiki (robot);Physics,Nasa
4,-2300,-1800,0,Technology;Base Wars,Robot
5,-2300,-1900,0,Star Trek First Contact;Technology,Aliens (film)
6,-2300,100,0,Technology;Star Trek Nemesis,George Lucas
7,-2200,1902,0,The Invisible Boy;Technology,Science fiction film
8,-2017,-1800,0,Technology;Arduino,Robot
9,-2000,-1900,0,Technology;Artificial intelligence,Robotics
10,-2000,-1900,0,I, Robot;Technology,Robotics
11,-2000,1959,0,Mystery Science Theater 3000;Technology,Nanomorph
12,-2000,1812,0,Artificial Intelligence;Dick Tufeld,Lost in Space
13,-2000,1959,0,Technology;Kryten,Nanomorph
14,-2000,1713,0,Jaydev P. Desai;Technology,Game theory
15,-2000,-1800,0,Seiko Epson;Technology,Robot
16,-1900,2100,0,Coppélia,
17,-1900,1623,0,Robotics;Collective intelligence,Computer science
18,-1900,-1500,0,Literature;Science,Arts
19,-1900,-1899,0,Literature;Film,Fiction
20,-1900,2000,0,Robotics;Japanese robotics,Asimo
21,-1900,-1800,0,Automated guided vehicle;Robotics,Robot
22,-1900,-1800,0,Boilerplate (robot);Robotics,Robot
23,-1900,2100,0,How I Met Your Mother,
24,-1900,1960,0,Walking truck;Cybernetics,Engineering cybernetics
25,-1900,1980,0,Transformers;Robotics,Transformers (film)
26,-1900,1902,0,Kronos (film);Robotics,Science fiction film
27,-1900,1980,0,Laboratory automation;Robotics,Laboratory robotics
28,-1900,1904,0,Microbotics;Robotics,Metin Sitti
29,-1900,1959,0,Technology;Motor,Motion (physics)
30,-1800,2100,0,The Steam Man of the Prairies,
31,-1800,-1700,0,Military science;Artificial intelligence,Psychology
32,-1700,1800,0,Animatronics;Robotics,Teleoperation
33,100,1920,0,Google driverless car;Artificial intelligence,Driverless car
34,100,1990,0,Nabaztag;Artificial intelligence,Smart objects
35,120,1863,0,Synchro;Robotics,Servo motor
36,130,1890,0,Hydraulics;Hal 5,Powered exoskeleton
37,130,1890,0,Hybrid Assistive Limb;Hydraulics,Powered exoskeleton
38,200,2100,0,Black Knight (Unmanned Combat Vehicle),
39,221,1980,0,Robot;Intuitive Surgical,Robotic surgery
40,360,1623,0,Robotics;Robotic vacuum cleaner,Computer Science
41,1802,1803,0,Microelectromechanical systems;Self-replicating machine,Molecular nanotechnology
42,1838,2013,0,Auguste Villiers de l'Isle-Adam;Robotics,Android (robot)
43,1869,1969,0,Self-balancing unicycle;Future of robotics,Trevor Blackwell
44,1888,1902,0,Thea von Harbou;Robot,Science fiction film
45,1898,1951,0,American robotics;Robotics,Hexapod (robotics)
46,1902,1950,0,Robotics;Arizona State University,Informatics (academic field)
47,1903,1904,0,Biomimetic;Electrical Engineering,Metin Sitti
48,1906,1925,0,Science fiction film;Brigitte Helm,Metropolis (1927 film)
49,1907,1961,0,Computational neuroscience;Robotics,Hartmut Neven
50,1931,2020,0,Tony Sale;Robot,Humanoid robot
51,1939,1940,0,L. Frank Baum;Wall-e,Tin Woodman
52,1940,1969,0,Robotics;Digital control,Gerd Hirzinger
53,1942,2001,0,Robot;André Guignard,S-bot mobile robot
54,1950,2006,0,Robert Kinoshita;Lost in Space,Robot B-9
55,1950,2020,0,Artificial brain;Wetware (brain),Computer software
