i,birth,death,dim,nodes
0,-8000,2100,0,Literacy
1,-7000,1980,0,Deforestation
2,-4000,1654,0,Technology
3,-3500,200,0,War
4,-3100,1000,0,Patriarchy
5,-3000,1450,0,Trade
6,-3000,-1999,0,Law
7,-3000,1655,0,Information technology
8,-3000,1900,0,Masculinity
9,-2400,1900,0,Homosexuality
10,-2000,-1999,0,Medicine
11,-1700,300,0,Prostitution
12,-1550,1500,0,Colonialism
13,-700,190,0,Judaism
14,-700,200,0,Democracy
15,-700,200,0,Hegemony
16,-700,1797,0,Psychopathy
17,-500,1700,0,Environmentalism
18,-400,1796,0,Ontology
19,-330,600,0,Education
20,-326,2100,0,Debt bondage
21,-300,1601,0,Automation
22,100,110,0,Feminism
23,100,1200,0,Intelligence quotient
24,107,1963,0,Christian Church
25,112,1950,0,Alcoholism
26,147,400,0,Immigration
27,150,1840,0,Black Panther Party
28,150,151,0,Trade union
29,200,1200,0,Fascism
30,200,2017,0,Anabaptist
31,200,1600,0,Peasant
32,230,1900,0,Coup d'état
33,256,2020,0,Birth rate
34,284,1700,0,Bureaucracy
35,750,1400,0,Core countries
36,1200,2016,0,Profanity
37,1300,1900,0,Femininity
38,1425,1600,0,Clan
39,1500,1513,0,Agrarian society
40,1500,1723,0,Homelessness
41,1500,1700,0,Reserve army of labour
42,1516,2019,0,Ghetto
43,1600,1800,0,Experiment
44,1600,2011,0,Gang
45,1600,2018,0,Meritocracy
46,1786,1936,0,Sampling (statistics)
47,1792,2100,0,Health maintenance organization
48,1796,1840,0,Counter-revolutionary
49,1800,1937,0,Poverty threshold
50,1800,2017,0,Animism
51,1800,1890,0,Biological determinism
52,1800,1818,0,Multilineal evolution
53,1800,1944,0,Systems theory
54,1854,1942,0,Arms industry
55,1870,1900,0,Pragmatism
56,1883,1978,0,Universal health care
57,1894,1926,0,Social control
58,1900,2100,0,Chicago Area Project
59,1927,2016,0,Fetishism
60,1929,2020,0,Demographic transition
61,1938,2100,0,Economies of scale
62,1944,2021,0,The Great Transformation (book)
63,1950,2019,0,Asch conformity experiments
64,1950,2021,0,Brainwashing
65,1950,2016,0,Status inconsistency
66,1960,1961,0,Civil religion
67,1960,2018,0,Conglomerate (company)
68,1960,1961,0,Conversation analysis
69,1960,2016,0,Sociology of language
70,1961,2021,0,Megalopolis (city type)
71,1971,2100,0,Amae
72,2000,2100,0,Assisted living
73,2003,2008,0,Affirmative action
74,2014,2015,0,Cash crop
75,2014,2015,0,Hunter-gatherer
76,2020,2085,0,Exponential growth
77,2020,2021,0,Bystander effect
78,2020,2100,0,Secondary labor market
79,-1999,2100,1,Technology;Bioethics
80,200,2100,1,State (polity);Politics
